num,reg,pos,loc,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,6,0, 1054954,benign, 607, 22, 8571, 0, 5830, 2697, 2, 464, 699, 0, 194, 33723, 397, 3, 41, 7445, 305, 444, 5, 13546, 9607, 19503, 0, 0, 25, 4731, 4918, 8492, 42, 0, 0, 18, 20, 158, 3, 34265, 25780, 29170, 2, 0, 0, 317
1,0,15, 1059195,benign, 814, 146, 8578, 0, 5830, 2689, 2, 464, 699, 0, 200, 34019, 397, 3, 41, 7720, 328, 443, 5, 14280, 10326, 19561, 0, 0, 25, 4762, 4894, 8488, 42, 0, 0, 18, 20, 166, 3, 35084, 26199, 29505, 2, 0, 0, 319
2,6,6, 1056280,benign, 700, 147, 8574, 4, 5829, 2693, 4, 464, 699, 0, 194, 33499, 397, 3, 41, 7179, 314, 511, 5, 13292, 9275, 19483, 0, 0, 25, 4747, 4864, 8479, 42, 0, 0, 18, 20, 158, 3, 34556, 25719, 29134, 2, 0, 0, 319
3,3,15, 1054897,benign, 680, 148, 8571, 0, 5833, 2691, 1, 464, 699, 0, 199, 33450, 397, 3, 42, 6914, 303, 443, 5, 13382, 9397, 19494, 0, 0, 25, 4718, 4885, 8484, 42, 0, 0, 18, 20, 166, 4, 34558, 25514, 28827, 2, 0, 0, 319
4,0,20, 1054763,benign, 680, 148, 8571, 0, 5829, 2695, 1, 464, 699, 0, 201, 33710, 397, 3, 42, 7048, 263, 441, 5, 13616, 9645, 19504, 0, 0, 25, 4843, 5012, 8491, 41, 0, 0, 18, 20, 160, 3, 34725, 25866, 29176, 2, 0, 0, 317
5,6,21, 1058418,benign, 786, 148, 8585, 0, 5832, 2695, 2, 464, 699, 0, 199, 34433, 397, 3, 41, 7606, 313, 445, 5, 14139, 10125, 19529, 0, 0, 25, 4801, 4962, 8485, 42, 0, 0, 18, 20, 159, 3, 34600, 25951, 29441, 2, 0, 0, 318
6,9,7, 1052165,benign, 601, 148, 8570, 0, 5828, 2688, 2, 464, 699, 0, 194, 33946, 397, 3, 45, 7242, 341, 443, 5, 13676, 9684, 19506, 0, 0, 25, 4789, 4939, 8482, 42, 0, 0, 18, 20, 322, 3, 34237, 25409, 28825, 2, 0, 0, 317
7,0,29, 1051615,benign, 572, 149, 8562, 0, 5827, 2690, 5, 464, 699, 0, 201, 33257, 397, 3, 42, 7303, 361, 450, 5, 13555, 9388, 19506, 0, 0, 25, 4716, 4893, 8485, 42, 0, 0, 18, 20, 158, 3, 34138, 25243, 28472, 2, 0, 0, 378
8,6,4, 1052220,benign, 570, 147, 8565, 4, 5827, 2686, 1, 464, 699, 0, 198, 33439, 397, 3, 42, 6909, 289, 456, 5, 13040, 9069, 19486, 0, 0, 25, 4710, 4893, 8482, 42, 0, 0, 18, 20, 158, 3, 33802, 25456, 28723, 2, 0, 0, 317
9,4,1, 1054058,benign, 656, 147, 8571, 1, 5828, 2690, 1, 464, 699, 0, 205, 33599, 397, 3, 42, 6946, 357, 445, 5, 13442, 9497, 19497, 0, 0, 25, 4712, 4903, 8483, 42, 0, 0, 18, 20, 160, 3, 34133, 26060, 29321, 2, 0, 0, 331
10,6,2, 1053932,benign, 624, 147, 8566, 4, 5829, 2694, 1, 464, 699, 0, 196, 33302, 397, 3, 44, 6916, 291, 445, 5, 13312, 9134, 19482, 0, 0, 25, 4718, 4887, 8475, 40, 0, 0, 19, 23, 160, 4, 34081, 25048, 28327, 2, 0, 0, 384
11,6,21, 1053709,benign, 646, 147, 8564, 0, 5826, 2694, 1, 464, 699, 0, 197, 33674, 397, 3, 41, 7098, 293, 447, 5, 13446, 9318, 19492, 0, 0, 25, 4719, 4895, 8483, 42, 0, 0, 18, 20, 157, 4, 34099, 25428, 28688, 2, 0, 0, 319
12,1,9, 1053236,benign, 602, 147, 8556, 4, 5826, 2691, 2, 464, 699, 0, 194, 33445, 397, 3, 42, 6982, 385, 444, 5, 13571, 9617, 19499, 0, 0, 25, 4716, 4884, 8484, 42, 0, 0, 18, 20, 158, 3, 34059, 25226, 28508, 2, 0, 0, 376
13,0,21, 1059630,benign, 515, 148, 8558, 0, 5826, 2694, 2, 464, 699, 0, 197, 33595, 397, 3, 42, 6685, 360, 452, 5, 13122, 9088, 19505, 0, 0, 25, 4724, 4933, 8477, 34, 0, 0, 18, 20, 162, 2, 34166, 25372, 28703, 1, 0, 0, 317
14,10,23, 1059928,benign, 789, 146, 8581, 4, 5834, 2697, 1, 464, 699, 0, 204, 33995, 397, 3, 40, 7351, 303, 442, 5, 13491, 9511, 19498, 0, 0, 25, 4801, 4858, 8493, 42, 0, 0, 18, 20, 167, 3, 34457, 25514, 28806, 2, 0, 0, 392
15,10,13, 1051847,benign, 582, 147, 8552, 0, 5829, 2688, 2, 464, 699, 0, 194, 33419, 397, 3, 41, 6796, 299, 443, 5, 13340, 9452, 19490, 0, 0, 25, 4729, 4881, 8489, 42, 0, 0, 19, 23, 160, 4, 33989, 25633, 28887, 2, 0, 0, 319
16,4,13, 1055688,benign, 680, 148, 8572, 3, 5828, 2694, 1, 464, 699, 0, 195, 34114, 397, 3, 41, 7339, 333, 437, 5, 13804, 9827, 19492, 0, 0, 25, 4849, 4867, 8485, 42, 0, 0, 18, 20, 153, 2, 34359, 25385, 28657, 1, 0, 0, 317
17,0,16, 1055072,benign, 662, 148, 8578, 4, 5830, 2691, 2, 464, 699, 0, 202, 33529, 397, 3, 42, 7020, 319, 454, 5, 13367, 9412, 19464, 0, 0, 25, 4741, 4905, 8485, 42, 0, 0, 18, 20, 167, 3, 34479, 25604, 28866, 2, 0, 0, 385
18,1,31, 1052803,benign, 608, 147, 8562, 0, 5826, 2688, 5, 464, 699, 0, 198, 34015, 397, 3, 43, 7096, 306, 444, 5, 13250, 9247, 19534, 0, 0, 25, 4736, 4865, 8480, 42, 0, 0, 18, 20, 158, 4, 34356, 25377, 28681, 2, 0, 0, 391
19,1,18, 1056238,benign, 724, 147, 8572, 0, 5829, 2694, 2, 464, 699, 0, 200, 34428, 397, 3, 42, 7471, 257, 449, 5, 14107, 10094, 19553, 0, 0, 25, 4715, 4887, 8489, 41, 0, 0, 18, 20, 158, 4, 34749, 25784, 29069, 2, 0, 0, 384
