num,reg,pos,loc,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,5,21, 1053890,benign, 585, 22, 8568, 0, 5829, 2691, 2, 464, 699, 0, 195, 33571, 397, 3, 41, 7099, 288, 446, 5, 13884, 9946, 19500, 0, 0, 25, 4975, 4628, 8482, 42, 0, 0, 18, 20, 157, 4, 34492, 25392, 28664, 2, 0, 0, 317
1,7,25, 1051353,benign, 577, 148, 8556, 0, 5827, 2689, 2, 464, 699, 0, 200, 33563, 397, 3, 41, 6848, 291, 501, 5, 13184, 9228, 19493, 0, 0, 25, 4747, 4895, 8488, 42, 0, 0, 18, 20, 158, 3, 34242, 25325, 28660, 2, 0, 0, 319
2,8,27, 1056142,benign, 731, 147, 8583, 0, 5829, 2695, 2, 464, 699, 0, 200, 34160, 397, 3, 41, 7455, 300, 575, 5, 13983, 9792, 19506, 0, 0, 25, 4853, 5016, 8484, 42, 0, 0, 18, 20, 157, 4, 34672, 25892, 29333, 2, 0, 0, 320
3,8,26, 1055819,benign, 704, 147, 8564, 0, 5828, 2693, 1, 464, 699, 0, 199, 34084, 397, 3, 41, 7160, 320, 446, 5, 13506, 9499, 19499, 0, 0, 25, 4789, 4952, 8494, 42, 0, 0, 18, 20, 159, 3, 34388, 26025, 29297, 2, 0, 0, 317
4,8,28, 1053089,benign, 624, 147, 8566, 0, 5828, 2693, 5, 464, 699, 0, 196, 33458, 397, 3, 41, 7200, 328, 445, 5, 13521, 9564, 19529, 0, 0, 25, 4782, 4944, 8483, 42, 0, 0, 18, 20, 158, 3, 34114, 25408, 28673, 2, 0, 0, 317
5,7,3, 1053830,benign, 649, 149, 8563, 0, 5824, 2689, 1, 464, 699, 0, 198, 34044, 397, 3, 41, 7275, 537, 521, 5, 13817, 9708, 19515, 0, 0, 25, 4789, 4849, 8482, 42, 0, 0, 18, 20, 160, 3, 34660, 25831, 29159, 2, 0, 0, 317
6,3,20, 1053513,benign, 643, 146, 8562, 0, 5827, 2689, 5, 464, 699, 0, 194, 33983, 397, 3, 42, 6725, 294, 448, 5, 13743, 9772, 19503, 0, 0, 25, 5100, 4757, 8475, 42, 0, 0, 18, 20, 158, 3, 34393, 25736, 29028, 2, 0, 0, 319
7,4,0, 1055004,benign, 657, 146, 8570, 4, 5826, 2687, 2, 464, 699, 0, 196, 33339, 397, 3, 42, 7131, 310, 508, 5, 13208, 9279, 19462, 0, 0, 25, 4781, 4826, 8485, 42, 0, 0, 18, 20, 153, 2, 34053, 25620, 28971, 2, 0, 0, 316
8,0,26, 1055724,benign, 679, 147, 8571, 4, 5825, 2687, 2, 464, 699, 0, 198, 33917, 397, 3, 41, 7057, 292, 442, 5, 13765, 9513, 19474, 0, 0, 25, 4707, 4895, 8481, 42, 0, 0, 18, 20, 158, 4, 33690, 25177, 28477, 2, 0, 0, 317
9,6,17, 1055766,benign, 701, 148, 8576, 0, 5827, 2686, 2, 464, 699, 0, 198, 33740, 397, 3, 41, 7144, 296, 510, 5, 13998, 10002, 19547, 0, 0, 25, 4892, 4933, 8481, 42, 0, 0, 18, 20, 160, 3, 34340, 25922, 29465, 2, 0, 0, 317
