num,reg,pos,loc,res,1,3,4,5,6,7,10,12,13,15,16,17,18,23,80,96,97,98,101,102,103,104,108,109,110,112,113,114,115,118,119,120,129,131,133,138,139,140,142,144,145,146
0,3,18, 1051122,SDC, 537, 22, 8803, 0, 5566, 2236, 41, 350, 534, 0, 170, 33326, 400, 398, 36, 6608, 333, 1, 2, 11670, 9503, 18734, 140, 175, 142, 5540, 5725, 7770, 42, 35, 29, 9, 4, 1, 1, 25552, 28999, 31231, 2, 155, 207, 251
1,6,19, 1054623,benign, 630, 22, 8811, 0, 5569, 2242, 41, 350, 539, 0, 158, 33599, 405, 397, 35, 6770, 294, 2, 2, 12125, 10127, 18808, 167, 203, 142, 5797, 5470, 7751, 42, 35, 29, 9, 4, 1, 0, 25637, 29105, 31353, 2, 397, 451, 495
2,0,4, 1059922,benign, 778, 23, 8817, 0, 5576, 2238, 42, 350, 539, 0, 161, 33955, 405, 400, 34, 7036, 261, 1, 3, 12471, 10300, 18824, 160, 195, 142, 5573, 5706, 7776, 41, 35, 29, 9, 5, 1, 0, 26182, 29430, 31662, 2, 187, 241, 285
3,2,22, 1055404,SDC, 633, 24, 8808, 4, 5564, 2242, 41, 350, 534, 0, 162, 33763, 400, 386, 35, 6900, 324, 1, 2, 11598, 9469, 18708, 173, 207, 139, 5556, 5712, 7748, 41, 35, 29, 8, 3, 1, 0, 25776, 29104, 31357, 2, 166, 218, 262
4,8,3, 1058905,benign, 761, 22, 8818, 0, 5572, 2234, 41, 351, 539, 0, 169, 33778, 405, 396, 38, 7395, 253, 2, 2, 12207, 10062, 18797, 137, 172, 142, 6045, 5215, 7755, 42, 35, 29, 8, 3, 7, 0, 25910, 29185, 31433, 2, 143, 195, 239
5,8,23, 1051169,benign, 529, 22, 8813, 0, 5570, 2239, 41, 350, 539, 0, 170, 33516, 405, 370, 35, 6522, 338, 7, 3, 11449, 9325, 18766, 123, 158, 142, 6048, 5206, 7760, 42, 35, 29, 9, 4, 1, 1, 25253, 28608, 30827, 2, 165, 217, 261
6,7,9, 1051793,benign, 545, 24, 8801, 0, 5570, 2234, 41, 350, 539, 0, 173, 33282, 405, 404, 37, 6600, 317, 7, 2, 11242, 9132, 18774, 168, 204, 142, 5552, 5713, 7750, 41, 35, 29, 8, 4, 1, 0, 25782, 29129, 31378, 2, 150, 202, 246
7,0,0, 1052204,benign, 533, 22, 8804, 4, 5567, 2240, 41, 350, 539, 0, 165, 33527, 405, 379, 34, 6452, 333, 123, 3, 11085, 8982, 18731, 134, 169, 142, 5556, 5712, 7776, 42, 35, 30, 9, 3, 1, 0, 25042, 28347, 30567, 2, 162, 214, 258
8,10,30, 1056901,benign, 698, 22, 8848, 0, 5569, 2235, 41, 350, 539, 0, 160, 33992, 405, 591, 35, 7124, 283, 7, 3, 11901, 9994, 18746, 123, 158, 142, 5814, 5442, 7757, 40, 35, 29, 8, 2, 1, 1, 25976, 29253, 31480, 2, 188, 241, 285
