num,reg,pos,loc,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,1,2, 1054398,benign, 598, 22, 8564, 0, 5831, 2699, 1, 464, 699, 0, 197, 33936, 397, 3, 41, 7311, 307, 444, 5, 13160, 9262, 19508, 0, 0, 25, 4724, 4880, 8485, 42, 0, 0, 18, 20, 260, 3, 34342, 25340, 28682, 2, 0, 0, 332
1,4,29, 1054223,benign, 653, 148, 8570, 0, 5827, 2690, 2, 464, 699, 0, 198, 33526, 397, 3, 39, 7158, 288, 440, 6, 13662, 9630, 19493, 0, 0, 25, 4786, 4821, 8492, 42, 0, 0, 18, 20, 162, 2, 34341, 25896, 29177, 1, 0, 0, 319
2,5,26, 1053625,benign, 634, 147, 8567, 0, 5829, 2694, 2, 464, 699, 0, 195, 33950, 397, 3, 41, 6895, 301, 583, 5, 13805, 9784, 19504, 0, 0, 25, 4722, 4889, 8484, 42, 0, 0, 18, 20, 161, 3, 34291, 25417, 28795, 2, 0, 0, 320
3,3,30, 1050114,benign, 529, 146, 8560, 0, 5829, 2696, 1, 464, 699, 0, 195, 33821, 397, 3, 42, 6787, 291, 460, 5, 13331, 9085, 19482, 0, 0, 25, 4449, 5154, 8473, 42, 0, 0, 18, 20, 166, 3, 34305, 25530, 28962, 2, 0, 0, 621
4,2,3, 1049972,benign, 503, 146, 8560, 4, 5826, 2694, 1, 464, 699, 0, 200, 33115, 397, 3, 42, 6752, 283, 459, 5, 13061, 9042, 19492, 0, 0, 25, 4713, 4910, 8486, 42, 0, 0, 18, 20, 166, 2, 33849, 25110, 28381, 2, 0, 0, 317
5,9,23, 1055637,benign, 700, 148, 8578, 0, 5828, 2691, 2, 464, 699, 0, 194, 34232, 397, 3, 41, 7278, 303, 444, 5, 13669, 9660, 19494, 0, 0, 25, 4766, 4944, 8488, 42, 0, 0, 18, 20, 159, 3, 34455, 25585, 28858, 2, 0, 0, 317
6,4,28, 1056328,benign, 700, 147, 8575, 3, 5824, 2687, 3, 464, 699, 0, 199, 33643, 397, 3, 39, 7142, 327, 438, 5, 13337, 9335, 19467, 0, 0, 25, 4718, 4895, 8489, 42, 0, 0, 18, 20, 152, 2, 34141, 25613, 28924, 1, 0, 0, 317
7,6,25, 1059203,benign, 816, 148, 8585, 1, 5829, 2690, 2, 464, 699, 0, 196, 34253, 397, 3, 41, 7530, 317, 444, 5, 13799, 9820, 19489, 0, 0, 25, 4851, 4873, 8487, 42, 0, 0, 18, 20, 158, 3, 34922, 25793, 29127, 2, 0, 0, 376
8,4,13, 1059077,benign, 819, 148, 8576, 0, 5831, 2686, 5, 464, 699, 0, 200, 33864, 397, 3, 43, 7664, 331, 438, 5, 13907, 9950, 19506, 0, 0, 25, 4712, 4903, 8486, 42, 0, 0, 18, 20, 152, 2, 34861, 26043, 29597, 1, 0, 0, 379
9,3,25, 1059729,benign, 440, 147, 8553, 0, 5824, 2694, 2, 464, 699, 0, 194, 32692, 397, 3, 40, 6273, 301, 445, 5, 12781, 8834, 19498, 0, 0, 25, 4503, 5214, 8480, 42, 0, 0, 18, 20, 153, 2, 33283, 24669, 27974, 2, 0, 0, 386
10,10,24, 1055318,benign, 692, 146, 8570, 0, 5827, 2689, 1, 464, 699, 0, 198, 33562, 397, 3, 41, 7182, 321, 510, 5, 13509, 9547, 19505, 0, 0, 25, 4725, 4877, 8491, 42, 0, 0, 18, 20, 341, 3, 34861, 25750, 29091, 2, 0, 0, 317
11,7,9, 1052528,benign, 581, 148, 8560, 4, 5826, 2693, 1, 464, 699, 0, 197, 33199, 397, 3, 43, 7041, 301, 443, 5, 12940, 8924, 19481, 0, 0, 25, 4721, 4877, 8480, 42, 0, 0, 18, 20, 159, 3, 33505, 25162, 28460, 2, 0, 0, 317
12,2,26, 1051883,SDC, 579, 147, 8546, 0, 5822, 2691, 1, 464, 694, 0, 199, 33675, 392, 3, 43, 6658, 303, 441, 5, 13351, 9393, 19486, 0, 0, 25, 4812, 4955, 8486, 42, 0, 0, 18, 20, 159, 3, 34138, 25645, 28932, 2, 0, 0, 317
13,1,30, 1052166,benign, 588, 146, 8569, 0, 5828, 2694, 1, 464, 699, 0, 198, 33700, 397, 3, 42, 6783, 544, 446, 5, 13273, 9187, 19479, 0, 0, 25, 4727, 4883, 8487, 42, 0, 0, 18, 20, 160, 3, 34072, 25430, 28723, 2, 0, 0, 319
14,2,12, 1051526,SDC, 577, 148, 8556, 0, 5825, 2694, 5, 464, 694, 0, 196, 33238, 392, 3, 43, 6967, 339, 452, 5, 13109, 9239, 19490, 0, 0, 25, 4714, 4880, 8486, 41, 0, 0, 18, 20, 159, 3, 34252, 25495, 28973, 2, 0, 0, 376
15,3,18, 1054920,SDC, 658, 148, 8564, 4, 5823, 2696, 2, 464, 694, 0, 197, 33716, 392, 3, 43, 7432, 321, 501, 5, 13237, 9304, 19469, 0, 0, 25, 4967, 4628, 8481, 42, 0, 0, 18, 20, 158, 3, 33956, 25344, 28601, 2, 0, 0, 377
16,3,12, 1060342,crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,1,16, 1056742,SDC, 655, 23, 8595, 0, 5855, 2700, 1, 464, 694, 0, 194, 33650, 392, 3, 41, 7447, 307, 442, 5, 13691, 9729, 19497, 0, 0, 25, 4731, 4860, 8492, 42, 0, 0, 19, 23, 160, 4, 34800, 25810, 29132, 2, 0, 0, 316
18,6,10, 1054519,benign, 668, 149, 8567, 1, 5825, 2693, 1, 464, 699, 0, 197, 33436, 397, 3, 43, 6959, 320, 444, 5, 13368, 9382, 19508, 0, 0, 25, 4713, 4893, 8485, 42, 0, 0, 18, 20, 159, 3, 34297, 25912, 29344, 2, 0, 0, 320
