num,reg,pos,loc,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,2,4, 1055677,SDC, 708, 146, 8576, 0, 5827, 2699, 1, 464, 694, 0, 201, 34049, 392, 3, 43, 7037, 311, 510, 5, 13569, 9575, 19494, 0, 0, 25, 4841, 4877, 8481, 42, 0, 0, 18, 20, 158, 4, 34535, 25837, 29259, 2, 0, 0, 319
1,10,26, 1054983,benign, 677, 148, 8567, 0, 5825, 2688, 1, 464, 699, 0, 194, 33790, 397, 3, 41, 7255, 303, 502, 6, 13656, 9709, 19507, 0, 0, 25, 4734, 4898, 8491, 41, 0, 0, 18, 20, 158, 3, 34130, 25561, 28859, 2, 0, 0, 319
2,8,3, 1053540,benign, 611, 146, 8561, 3, 5824, 2692, 3, 464, 699, 0, 195, 33478, 397, 3, 40, 6812, 340, 496, 5, 13093, 9154, 19479, 0, 0, 25, 4724, 4874, 8489, 42, 0, 0, 18, 20, 158, 3, 34068, 25501, 28922, 2, 0, 0, 316
3,1,19, 1060020,benign, 787, 145, 8583, 3, 5830, 2689, 1, 464, 699, 0, 203, 33585, 397, 3, 40, 7371, 328, 541, 5, 13701, 9803, 19501, 0, 0, 25, 4743, 4924, 8498, 42, 0, 0, 18, 20, 157, 2, 34786, 26028, 29304, 2, 0, 0, 319
4,1,4, 1056154,benign, 723, 147, 8582, 0, 5829, 2687, 1, 464, 700, 0, 201, 34009, 397, 3, 41, 7156, 324, 448, 4, 13371, 9363, 19487, 0, 0, 25, 4721, 4886, 8491, 41, 0, 0, 18, 20, 158, 3, 34427, 25649, 29140, 2, 0, 0, 317
5,7,15, 1054523,benign, 677, 147, 8563, 0, 5826, 2688, 1, 464, 699, 0, 202, 33936, 397, 3, 41, 7251, 339, 447, 5, 13561, 9359, 19501, 0, 0, 25, 4735, 4904, 8482, 42, 0, 0, 18, 20, 161, 3, 34340, 25622, 28880, 2, 0, 0, 319
6,9,18, 1050063,benign, 526, 146, 8565, 0, 5829, 2687, 2, 464, 699, 0, 201, 33594, 397, 3, 43, 6672, 337, 450, 6, 13303, 9313, 19504, 0, 0, 25, 4723, 4919, 8480, 42, 0, 0, 18, 20, 166, 3, 33811, 25417, 28831, 2, 0, 0, 316
7,1,24, 1059619,benign, 527, 147, 8556, 0, 5824, 2690, 1, 464, 699, 0, 190, 33273, 397, 3, 41, 6358, 283, 442, 6, 13096, 9032, 19520, 0, 0, 25, 4649, 4993, 8487, 36, 0, 0, 18, 20, 168, 3, 33931, 25637, 28897, 1, 0, 0, 321
8,9,3, 1050923,benign, 539, 147, 8563, 0, 5824, 2687, 1, 464, 699, 0, 200, 33601, 397, 3, 42, 6830, 325, 446, 4, 13416, 9429, 19519, 0, 0, 25, 4742, 4909, 8489, 42, 0, 0, 18, 20, 158, 3, 33859, 25449, 28710, 2, 0, 0, 319
9,10,29, 1058053,benign, 777, 147, 8577, 0, 5829, 2687, 1, 464, 700, 0, 195, 34129, 397, 3, 41, 7924, 338, 455, 4, 13941, 9948, 19498, 0, 0, 25, 4756, 4898, 8483, 42, 0, 0, 19, 23, 162, 3, 34798, 25905, 29218, 2, 0, 0, 447
10,3,2, 1057710,SDC, 766, 148, 8568, 0, 5826, 2696, 1, 464, 694, 0, 199, 33857, 392, 3, 43, 7090, 311, 511, 4, 13772, 9794, 19494, 0, 0, 25, 4904, 4951, 8478, 42, 0, 0, 18, 20, 258, 3, 34657, 26130, 29505, 2, 0, 0, 377
11,4,1, 1052015,benign, 585, 150, 8569, 1, 5835, 2696, 1, 464, 699, 0, 201, 33307, 397, 3, 40, 6825, 338, 446, 4, 13064, 9178, 19617, 0, 0, 25, 4712, 4889, 8484, 42, 0, 0, 18, 20, 160, 3, 34387, 25216, 28551, 2, 0, 0, 384
12,6,16, 1053150,benign, 620, 147, 8567, 0, 5825, 2690, 2, 464, 699, 0, 197, 33912, 397, 3, 43, 7165, 311, 446, 4, 13275, 9287, 19502, 0, 0, 25, 4791, 4810, 8487, 42, 0, 0, 18, 20, 158, 3, 34223, 25604, 28974, 2, 0, 0, 319
13,3,11, 1051195,SDC, 572, 147, 8557, 0, 5821, 2692, 4, 464, 694, 0, 204, 33411, 392, 3, 43, 7198, 527, 455, 4, 13787, 9808, 19495, 0, 0, 25, 4781, 4809, 8484, 42, 0, 0, 18, 20, 157, 3, 34254, 25525, 28819, 2, 0, 0, 379
14,10,15, 1052500,benign, 582, 146, 8567, 4, 5830, 2690, 2, 464, 699, 0, 195, 33741, 397, 3, 40, 6850, 478, 445, 5, 13632, 9604, 19465, 0, 0, 25, 4743, 4864, 8482, 41, 0, 0, 18, 20, 160, 4, 33464, 25214, 28486, 2, 0, 0, 380
15,1,20, 1052348,benign, 575, 145, 8572, 3, 5831, 2695, 2, 464, 699, 0, 195, 33131, 397, 3, 42, 7370, 335, 505, 5, 13194, 9229, 19480, 0, 0, 25, 4727, 4886, 8487, 42, 0, 0, 18, 20, 159, 3, 33867, 25241, 28510, 2, 0, 0, 430
16,6,20, 1057600,benign, 741, 147, 8577, 3, 5829, 2691, 1, 464, 699, 0, 197, 33410, 397, 3, 40, 7582, 305, 455, 5, 13922, 9905, 19466, 0, 0, 25, 4839, 4993, 8481, 40, 0, 0, 18, 20, 158, 3, 34492, 26032, 29319, 2, 0, 0, 406
17,4,20, 1055103,benign, 678, 147, 8564, 0, 5821, 2684, 1, 464, 699, 0, 195, 34141, 397, 3, 40, 7311, 363, 562, 4, 13423, 9488, 19492, 0, 0, 25, 4965, 4642, 8489, 42, 0, 0, 18, 20, 153, 2, 34419, 25538, 29041, 1, 0, 0, 316
18,2,0, 1049953,benign, 532, 149, 8553, 0, 5819, 2687, 2, 464, 699, 0, 192, 33591, 397, 3, 42, 6646, 312, 522, 4, 13491, 9490, 19478, 0, 0, 25, 4608, 5215, 8476, 42, 0, 0, 18, 20, 168, 2, 34165, 25517, 28838, 2, 0, 0, 317
19,10,22, 1060006,benign, 816, 149, 8577, 0, 5829, 2693, 1, 464, 699, 0, 199, 34321, 397, 3, 41, 7512, 285, 445, 4, 13681, 9856, 19554, 0, 0, 25, 4918, 5120, 8491, 42, 0, 0, 18, 20, 158, 3, 34430, 26127, 29473, 2, 0, 0, 317
20,2,5, 1059786,crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,1,14, 1051187,benign, 471, 43, 8576, 34, 5832, 2701, 1, 464, 699, 0, 201, 33480, 397, 3, 41, 6744, 329, 454, 5, 13103, 9105, 19496, 0, 0, 25, 4706, 4886, 8484, 42, 0, 0, 18, 20, 160, 3, 34531, 25370, 28658, 2, 0, 0, 316
22,3,14, 1050361,SDC, 529, 147, 8552, 0, 5819, 2691, 2, 464, 694, 0, 195, 33273, 392, 3, 42, 6793, 308, 443, 5, 13154, 9171, 19493, 0, 0, 25, 4755, 4960, 8488, 42, 0, 0, 18, 20, 160, 3, 34022, 25514, 29003, 2, 0, 0, 319
23,10,19, 1050031,benign, 539, 148, 8557, 0, 5830, 2698, 2, 464, 699, 0, 197, 33711, 397, 3, 41, 6540, 302, 453, 5, 13236, 9199, 19503, 0, 0, 25, 4712, 4932, 8482, 42, 0, 0, 18, 20, 166, 2, 34389, 25514, 28878, 2, 0, 0, 378
24,10,27, 1057323,benign, 750, 148, 8581, 0, 5827, 2689, 1, 464, 699, 0, 196, 34668, 397, 3, 44, 7391, 304, 442, 5, 13537, 9544, 19486, 0, 0, 25, 4811, 4944, 8480, 42, 0, 0, 18, 20, 159, 3, 34506, 26191, 29737, 2, 0, 0, 316
25,4,30, 1050499,benign, 543, 146, 8570, 0, 5828, 2697, 4, 464, 699, 0, 206, 33571, 397, 3, 40, 6903, 301, 646, 5, 13225, 9248, 19514, 0, 0, 25, 4755, 4964, 8486, 42, 0, 0, 18, 20, 153, 2, 33811, 25712, 28993, 1, 0, 0, 317
26,10,4, 1056748,benign, 714, 147, 8575, 3, 5827, 2689, 1, 464, 699, 0, 199, 33628, 397, 3, 42, 7225, 527, 441, 5, 13447, 9205, 19476, 0, 0, 25, 4844, 4887, 8505, 42, 0, 0, 18, 20, 168, 3, 34757, 25436, 28754, 2, 0, 0, 317
27,9,11, 1059048,benign, 785, 147, 8581, 3, 5826, 2694, 2, 464, 699, 0, 199, 33901, 397, 3, 42, 7518, 331, 452, 6, 13790, 9765, 19487, 0, 0, 25, 4847, 4884, 8491, 41, 0, 0, 18, 20, 168, 3, 34386, 25933, 29315, 2, 0, 0, 317
28,5,19, 1059434,benign, 817, 147, 8579, 0, 5826, 2688, 3, 464, 699, 0, 204, 34145, 397, 3, 44, 7429, 303, 515, 5, 13938, 9766, 19500, 0, 0, 25, 4701, 4903, 8470, 42, 0, 0, 18, 20, 369, 3, 34902, 25898, 29238, 2, 0, 0, 316
29,8,30, 1057526,benign, 757, 148, 8581, 0, 5821, 2687, 1, 464, 700, 0, 204, 34230, 397, 3, 44, 7349, 501, 445, 5, 13783, 9799, 19502, 0, 0, 25, 4729, 4875, 8486, 42, 0, 0, 18, 20, 158, 3, 34296, 25983, 29277, 2, 0, 0, 385
30,8,23, 1051602,benign, 573, 148, 8561, 0, 5826, 2695, 1, 464, 699, 0, 198, 33608, 397, 3, 43, 6679, 304, 443, 6, 13039, 9090, 19494, 0, 0, 25, 4792, 4966, 8483, 41, 0, 0, 18, 20, 159, 3, 34028, 25684, 29197, 2, 0, 0, 316
31,10,31, 1050861,benign, 548, 149, 8566, 0, 5830, 2691, 2, 464, 699, 0, 199, 33870, 397, 3, 41, 7154, 335, 502, 5, 13350, 9343, 19504, 0, 0, 25, 4792, 4821, 8484, 41, 0, 0, 18, 20, 158, 3, 34031, 25225, 28725, 2, 0, 0, 321
32,10,9, 1057082,benign, 745, 148, 8564, 0, 5825, 2688, 1, 464, 699, 0, 200, 33884, 397, 3, 41, 7708, 293, 454, 5, 14076, 10174, 19552, 0, 0, 25, 4811, 4927, 8482, 42, 0, 0, 18, 20, 160, 3, 34437, 25728, 29188, 2, 0, 0, 319
33,5,9, 1053338,benign, 613, 148, 8567, 0, 5829, 2695, 1, 464, 699, 0, 201, 33623, 397, 3, 41, 7518, 304, 446, 5, 13850, 9781, 19497, 0, 0, 25, 4707, 4884, 8477, 34, 0, 0, 18, 20, 158, 2, 34402, 25822, 29104, 2, 0, 0, 316
34,8,27, 1059578,benign, 527, 148, 8560, 0, 5821, 2691, 2, 464, 699, 0, 196, 33426, 397, 3, 40, 6528, 319, 440, 5, 13238, 9296, 19532, 0, 0, 25, 4516, 5080, 8475, 34, 0, 0, 18, 20, 166, 3, 33724, 25152, 28439, 1, 0, 0, 319
35,4,3, 1058003,benign, 771, 149, 8571, 1, 5830, 2694, 2, 464, 699, 0, 196, 34318, 397, 3, 42, 7273, 330, 510, 5, 14024, 10044, 19530, 0, 0, 25, 4743, 4903, 8495, 42, 0, 0, 18, 20, 160, 3, 34451, 26261, 29666, 2, 0, 0, 317
36,7,14, 1059376,benign, 796, 147, 8585, 3, 5829, 2694, 1, 464, 699, 0, 197, 34286, 397, 3, 41, 7905, 290, 444, 5, 13774, 9586, 19473, 0, 0, 25, 4779, 4835, 8483, 42, 0, 0, 18, 20, 160, 4, 34498, 25931, 29223, 2, 0, 0, 319
37,5,18, 1054240,benign, 635, 147, 8566, 3, 5826, 2694, 1, 464, 700, 0, 196, 33568, 397, 3, 41, 6931, 327, 450, 5, 13614, 9614, 19473, 0, 0, 25, 4777, 4825, 8485, 42, 0, 0, 18, 20, 168, 3, 34069, 25425, 28702, 2, 0, 0, 317
38,0,24, 1051190,benign, 562, 147, 8555, 0, 5829, 2696, 1, 464, 699, 0, 199, 33567, 397, 3, 41, 6789, 318, 513, 5, 13339, 9367, 19494, 0, 0, 25, 4770, 4836, 8489, 42, 0, 0, 18, 20, 158, 3, 34080, 25310, 28607, 2, 0, 0, 319
39,9,28, 1055249,benign, 688, 150, 8573, 0, 5825, 2695, 1, 464, 699, 0, 201, 33982, 397, 3, 42, 6849, 335, 442, 5, 13637, 9680, 19505, 0, 0, 25, 4952, 4648, 8481, 42, 0, 0, 18, 20, 160, 3, 34411, 25839, 29286, 2, 0, 0, 319
40,10,18, 1052143,benign, 586, 148, 8570, 0, 5829, 2698, 1, 464, 699, 0, 200, 33321, 397, 3, 41, 6822, 327, 455, 5, 13962, 9725, 19507, 0, 0, 25, 5016, 5030, 8486, 42, 0, 0, 18, 20, 160, 3, 33979, 25382, 28659, 2, 0, 0, 319
41,1,6, 1058568,benign, 772, 147, 8581, 3, 5831, 2696, 1, 464, 699, 0, 207, 33843, 397, 3, 42, 7375, 311, 565, 5, 14095, 10097, 19527, 0, 0, 25, 4730, 4885, 8475, 42, 0, 0, 18, 20, 158, 4, 34248, 25581, 28848, 2, 0, 0, 316
42,3,28, 1051989,SDC, 585, 148, 8556, 0, 5824, 2697, 1, 464, 694, 0, 197, 33466, 392, 3, 41, 6583, 313, 518, 5, 13827, 9865, 19500, 0, 0, 25, 4845, 5011, 8486, 42, 0, 0, 18, 20, 194, 4, 33881, 25172, 28502, 2, 0, 0, 384
43,1,28, 1055177,benign, 685, 147, 8571, 0, 5831, 2687, 2, 464, 699, 0, 197, 33992, 397, 3, 41, 7454, 320, 445, 5, 13563, 9564, 19515, 0, 0, 25, 4713, 4894, 8485, 42, 0, 0, 18, 20, 160, 3, 34446, 25625, 28987, 2, 0, 0, 322
44,1,11, 1060360,benign, 788, 147, 8574, 3, 5824, 2693, 1, 464, 699, 0, 202, 33678, 397, 3, 44, 7930, 255, 447, 5, 13514, 9541, 19488, 0, 0, 25, 4732, 4881, 8493, 42, 0, 0, 18, 20, 255, 3, 34314, 26151, 29429, 2, 0, 0, 317
45,1,25, 1058756,SDC, 777, 147, 8570, 3, 5824, 2693, 2, 464, 694, 0, 195, 34054, 392, 3, 40, 7824, 299, 567, 5, 13322, 9397, 19459, 0, 0, 25, 4716, 4881, 8479, 41, 0, 0, 18, 20, 203, 3, 34075, 25678, 29192, 2, 0, 0, 317
46,9,9, 1054940,benign, 657, 148, 8568, 3, 5824, 2689, 1, 464, 699, 0, 196, 33907, 397, 3, 41, 6921, 314, 442, 5, 12916, 8932, 19464, 0, 0, 25, 4707, 4891, 8484, 42, 0, 0, 18, 20, 158, 4, 34095, 25737, 29087, 2, 0, 0, 317
47,8,9, 1050401,benign, 532, 147, 8560, 0, 5833, 2698, 2, 464, 699, 0, 195, 33496, 397, 3, 42, 7155, 317, 453, 5, 13061, 9099, 19494, 0, 0, 25, 4703, 4938, 8481, 42, 0, 0, 18, 20, 158, 4, 34258, 25193, 28668, 2, 0, 0, 376
48,2,23, 1057565,SDC, 754, 147, 8574, 0, 5821, 2694, 5, 464, 694, 0, 195, 33687, 392, 3, 41, 7356, 320, 650, 5, 13626, 9653, 19473, 0, 0, 25, 4728, 4861, 8479, 42, 0, 0, 18, 20, 166, 4, 34558, 25908, 29198, 2, 0, 0, 377
49,9,2, 1052954,benign, 622, 149, 8563, 0, 5827, 2696, 1, 464, 699, 0, 198, 33520, 397, 3, 41, 6541, 302, 512, 5, 13259, 9283, 19490, 0, 0, 25, 4717, 4876, 8487, 42, 0, 0, 18, 20, 160, 4, 34105, 25674, 28976, 2, 0, 0, 518
50,5,9, 1055217,benign, 701, 148, 8573, 0, 5822, 2692, 2, 464, 699, 0, 195, 33628, 397, 3, 41, 7526, 358, 446, 5, 13556, 9535, 19500, 0, 0, 25, 4710, 4893, 8481, 42, 0, 0, 18, 20, 159, 3, 34330, 25667, 28981, 2, 0, 0, 317
51,6,3, 1055457,benign, 703, 147, 8564, 0, 5826, 2689, 1, 464, 699, 0, 195, 33788, 397, 3, 42, 7399, 335, 488, 5, 14035, 10043, 19565, 0, 0, 25, 4721, 4891, 8487, 42, 0, 0, 18, 20, 157, 3, 34692, 25662, 29205, 2, 0, 0, 319
52,2,17, 1058515,benign, 803, 149, 8573, 0, 5826, 2689, 2, 464, 699, 0, 199, 34007, 397, 3, 42, 7800, 306, 445, 5, 14372, 10430, 19566, 0, 0, 25, 4724, 4882, 8481, 42, 0, 0, 18, 20, 160, 3, 34984, 25995, 29327, 2, 0, 0, 386
53,6,24, 1056091,benign, 726, 149, 8571, 0, 5829, 2688, 1, 464, 699, 0, 198, 33586, 397, 3, 42, 7450, 321, 667, 5, 14199, 10175, 19558, 0, 0, 25, 4849, 5010, 8480, 42, 0, 0, 18, 20, 160, 3, 34559, 25803, 29294, 2, 0, 0, 319
54,1,9, 1052135,SDC, 587, 149, 8557, 0, 5821, 2689, 2, 464, 694, 0, 195, 33490, 392, 3, 43, 6702, 377, 442, 5, 13762, 9565, 19491, 0, 0, 25, 4713, 4886, 8480, 42, 0, 0, 18, 20, 158, 3, 34136, 25839, 29134, 2, 0, 0, 317
55,8,13, 1055501,benign, 702, 148, 8569, 0, 5825, 2697, 1, 464, 699, 0, 198, 33801, 397, 3, 43, 7231, 296, 501, 5, 13629, 9644, 19519, 0, 0, 25, 4869, 4932, 8478, 42, 0, 0, 18, 20, 158, 3, 34338, 25771, 29051, 2, 0, 0, 317
56,0,30, 1057018,benign, 742, 146, 8575, 0, 5831, 2694, 1, 464, 699, 0, 201, 33394, 397, 3, 41, 7349, 295, 446, 5, 13871, 9839, 19503, 0, 0, 25, 4981, 4758, 8492, 42, 0, 0, 19, 23, 162, 3, 34771, 26158, 29421, 2, 0, 0, 317
57,5,13, 1052676,benign, 587, 147, 8574, 3, 5828, 2692, 1, 464, 699, 0, 196, 33054, 397, 3, 40, 6838, 300, 447, 5, 12941, 9048, 19470, 0, 0, 25, 4791, 4816, 8481, 42, 0, 0, 18, 20, 158, 4, 34229, 25280, 28623, 2, 0, 0, 320
58,6,30, 1058627,benign, 803, 146, 8580, 0, 5827, 2692, 1, 464, 699, 0, 200, 34410, 397, 3, 41, 8102, 299, 442, 5, 14019, 10078, 19547, 0, 0, 25, 4724, 4885, 8486, 42, 0, 0, 18, 20, 158, 4, 34617, 26052, 29345, 2, 0, 0, 317
59,8,11, 1054463,benign, 667, 147, 8581, 0, 5831, 2698, 2, 464, 699, 0, 199, 33819, 397, 3, 43, 6714, 345, 451, 5, 13363, 9383, 19515, 0, 0, 25, 4940, 4660, 8491, 42, 0, 0, 18, 20, 158, 3, 34189, 25867, 29109, 2, 0, 0, 384
60,2,5, 1057431,benign, 763, 148, 8578, 0, 5828, 2694, 1, 464, 699, 0, 196, 33957, 397, 3, 41, 7465, 297, 510, 5, 14188, 10249, 19571, 0, 0, 25, 4744, 4896, 8486, 42, 0, 0, 18, 20, 160, 3, 34721, 26464, 29847, 2, 0, 0, 317
61,0,6, 1058813,benign, 804, 148, 8577, 0, 5830, 2696, 3, 464, 699, 0, 195, 34279, 397, 3, 44, 7574, 348, 647, 5, 13546, 9571, 19490, 0, 0, 25, 4722, 4870, 8477, 42, 0, 0, 19, 23, 161, 3, 34446, 25805, 29302, 2, 0, 0, 322
62,3,22, 1057909,SDC, 771, 149, 8573, 0, 5820, 2696, 2, 464, 694, 0, 194, 33952, 392, 3, 41, 7243, 332, 573, 5, 13973, 9959, 19500, 0, 0, 25, 4770, 4940, 8483, 42, 0, 0, 19, 23, 154, 2, 34526, 25947, 29300, 2, 0, 0, 319
63,1,21, 1052242,SDC, 608, 147, 8561, 0, 5824, 2693, 1, 464, 694, 0, 195, 33622, 392, 3, 41, 6736, 318, 444, 5, 13202, 9250, 19514, 0, 0, 25, 4719, 4881, 8482, 42, 0, 0, 18, 20, 160, 3, 33985, 25817, 29086, 2, 0, 0, 319
64,7,26, 1055273,benign, 703, 149, 8567, 0, 5825, 2691, 1, 464, 699, 0, 196, 33841, 397, 3, 42, 7150, 271, 444, 5, 14218, 10285, 19560, 0, 0, 25, 4709, 4890, 8488, 42, 0, 0, 18, 20, 280, 3, 34535, 25712, 29008, 2, 0, 0, 319
65,7,2, 1056529,benign, 743, 146, 8560, 0, 5826, 2691, 1, 464, 699, 0, 195, 33976, 397, 3, 42, 7458, 295, 442, 5, 14002, 10037, 19571, 0, 0, 25, 4724, 4878, 8485, 42, 0, 0, 18, 20, 157, 3, 34108, 25960, 29228, 2, 0, 0, 316
66,7,6, 1058912,benign, 781, 146, 8577, 3, 5827, 2694, 1, 464, 699, 0, 195, 33832, 397, 3, 41, 7356, 283, 450, 5, 13597, 9597, 19479, 0, 0, 25, 4796, 4847, 8481, 42, 0, 0, 18, 20, 158, 3, 34362, 25699, 28969, 2, 0, 0, 319
67,5,29, 1052316,benign, 574, 146, 8557, 3, 5830, 2695, 1, 464, 699, 0, 202, 33348, 397, 3, 40, 7194, 308, 603, 5, 13610, 9617, 19492, 0, 0, 25, 4745, 4904, 8484, 42, 0, 0, 18, 20, 162, 2, 33818, 25171, 28470, 2, 0, 0, 608
68,6,24, 1057036,benign, 724, 147, 8580, 3, 5831, 2691, 2, 464, 699, 0, 197, 33807, 397, 3, 42, 7553, 360, 443, 5, 13883, 9617, 19499, 0, 0, 25, 4733, 4864, 8482, 42, 0, 0, 18, 20, 168, 3, 34385, 25526, 29070, 2, 0, 0, 316
69,7,28, 1054806,benign, 681, 149, 8569, 0, 5830, 2695, 5, 464, 699, 0, 197, 33929, 397, 3, 41, 7046, 258, 447, 5, 13240, 9200, 19491, 0, 0, 25, 4724, 4881, 8484, 42, 0, 0, 19, 23, 162, 3, 34210, 25572, 29083, 2, 0, 0, 539
70,0,25, 1060206,SDC, 515, 148, 5885, 0, 4003, 2003, 1, 367, 595, 0, 185, 27603, 288, 3, 40, 6429, 571, 460, 5, 12303, 9354, 14227, 0, 0, 21, 3253, 3827, 5958, 20, 0, 0, 18, 20, 158, 3, 28261, 19452, 22957, 1, 0, 0, 317
71,8,4, 1056333,benign, 728, 148, 8578, 0, 5824, 2691, 1, 464, 699, 0, 195, 34130, 397, 3, 43, 7157, 346, 537, 5, 13577, 9640, 19506, 0, 0, 25, 4721, 4884, 8487, 42, 0, 0, 19, 23, 163, 3, 34354, 26104, 29548, 2, 0, 0, 320
72,1,9, 1054261,benign, 653, 150, 8563, 0, 5825, 2690, 1, 464, 699, 0, 193, 33267, 397, 3, 43, 7089, 339, 444, 5, 13730, 9668, 19509, 0, 0, 25, 5028, 4706, 8485, 42, 0, 0, 18, 20, 158, 3, 34374, 25702, 28998, 2, 0, 0, 319
73,9,1, 1058832,benign, 778, 147, 8584, 4, 5829, 2695, 1, 464, 700, 0, 207, 33876, 397, 3, 42, 7367, 315, 443, 5, 13897, 9894, 19478, 0, 0, 25, 4973, 4618, 8485, 42, 0, 0, 18, 20, 166, 3, 34624, 25521, 28864, 2, 0, 0, 323
74,9,18, 1053827,benign, 650, 149, 8567, 0, 5827, 2695, 2, 464, 699, 0, 199, 33857, 397, 3, 42, 6911, 323, 444, 5, 13334, 9391, 19500, 0, 0, 25, 4709, 4887, 8486, 42, 0, 0, 18, 20, 160, 3, 34636, 26070, 29507, 2, 0, 0, 317
75,9,28, 1050342,benign, 538, 149, 8559, 0, 5825, 2691, 1, 464, 699, 0, 193, 33382, 397, 3, 41, 6806, 327, 445, 5, 13217, 9038, 19511, 0, 0, 25, 4702, 4907, 8485, 42, 0, 0, 18, 20, 158, 4, 34161, 25472, 28776, 2, 0, 0, 319
76,8,30, 1050823,benign, 555, 147, 8553, 0, 5824, 2688, 1, 464, 699, 0, 199, 33260, 397, 3, 41, 6841, 336, 466, 5, 13722, 9715, 19502, 0, 0, 25, 4714, 4889, 8484, 42, 0, 0, 18, 20, 185, 4, 33923, 25430, 28823, 2, 0, 0, 386
77,0,9, 1059230,benign, 809, 147, 8572, 0, 5827, 2689, 3, 464, 700, 0, 196, 34005, 397, 3, 41, 7649, 328, 633, 5, 14060, 10087, 19539, 0, 0, 25, 4784, 4822, 8481, 41, 0, 0, 18, 20, 157, 4, 34443, 26083, 29360, 2, 0, 0, 316
78,4,11, 1055561,benign, 704, 148, 8578, 0, 5829, 2693, 2, 464, 699, 0, 195, 33748, 397, 3, 40, 7419, 302, 449, 5, 13911, 9915, 19491, 0, 0, 25, 4790, 4811, 8475, 41, 0, 0, 18, 20, 153, 2, 34303, 25775, 29278, 1, 0, 0, 377
79,10,2, 1058236,benign, 759, 145, 8578, 3, 5829, 2696, 3, 464, 699, 0, 198, 34177, 397, 3, 40, 7467, 572, 452, 5, 13932, 9996, 19467, 0, 0, 25, 4805, 4980, 8490, 42, 0, 0, 18, 20, 159, 3, 34617, 25614, 28914, 2, 0, 0, 317
