num,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
15,r2,11, 1051136, 1026,"  100a00:	e0222003 	eor	r2, r2, r3",benign, 657, 182, 10209, 3, 6824, 2689, 1, 567, 756, 0, 227, 53532, 550, 3, 7, 8154, 2, 375, 3, 32585, 11008, 21207, 0, 0, 30, 5323, 4930, 9611, 81, 0, 0, 17, 20, 34, 2, 53654, 46773, 49744, 1, 0, 0, 374,-
16,r2,27, 1060574, 1034,"  102edc:	e51b3168 	ldr	r3, [fp, #-360]	; 0xfffffe98",benign, 974, 185, 10264, 2, 6839, 2688, 1, 567, 756, 0, 225, 54758, 550, 3, 7, 8665, 2, 376, 3, 33805, 12098, 21228, 0, 0, 30, 5147, 5083, 9610, 80, 0, 0, 17, 20, 34, 2, 55120, 46264, 49249, 1, 0, 0, 374,-
17,r1,20, 1054873, 1033,"  101898:	e51b300c 	ldr	r3, [fp, #-12]",benign, 800, 182, 10245, 2, 6842, 2689, 1, 567, 756, 0, 225, 54096, 550, 3, 7, 8515, 2, 376, 3, 32818, 11157, 21226, 0, 0, 30, 5072, 5154, 9596, 78, 0, 0, 17, 20, 34, 2, 54307, 46821, 49841, 1, 0, 0, 373,-
18,r0,7, 1053241, 1034,"  101238:	e51b3010 	ldr	r3, [fp, #-16]",benign, 760, 185, 10246, 2, 6849, 2689, 3, 567, 756, 0, 224, 54097, 550, 3, 7, 8043, 2, 378, 3, 32643, 11007, 21205, 0, 0, 30, 5072, 5170, 9607, 79, 0, 0, 17, 21, 34, 2, 54384, 46643, 49674, 1, 0, 0, 376,-
19,r0,20, 1061206, 1031,"  103154:	e2633038 	rsb	r3, r3, #56	; 0x38",benign, 594, 192, 10237, 2, 6852, 2691, 1, 567, 756, 0, 214, 53606, 550, 3, 7, 7618, 2, 379, 3, 32243, 10510, 21221, 0, 0, 30, 5044, 5156, 9607, 80, 0, 0, 17, 20, 34, 2, 54286, 46446, 49632, 1, 0, 0, 376,-
20,r1,13, 1058718, 1030,"  10279c:	e34c3a62 	movt	r3, #51810	; 0xca62",benign, 927, 185, 10247, 2, 6842, 2689, 1, 567, 756, 0, 224, 54482, 550, 3, 7, 8408, 2, 379, 3, 33197, 11561, 21264, 0, 0, 30, 5317, 5176, 9598, 80, 0, 0, 17, 20, 34, 2, 54962, 47221, 50232, 1, 0, 0, 376,-
21,r2,25, 1059976, 1024,"  102c88:	e0211003 	eor	r1, r1, r3",benign, 944, 184, 10239, 3, 6833, 2693, 1, 567, 756, 0, 224, 53467, 550, 3, 7, 8591, 2, 378, 3, 31985, 10270, 21179, 0, 0, 30, 5204, 5030, 9600, 81, 0, 0, 17, 20, 34, 5, 55354, 47419, 50457, 1, 0, 0, 377,-
22,r3,0, 1055015, 1028,"  101924:	e0211003 	eor	r1, r1, r3",benign, 816, 185, 10248, 2, 6832, 2688, 1, 567, 756, 0, 221, 54617, 550, 3, 7, 7952, 2, 376, 3, 33085, 11358, 21232, 0, 0, 30, 5046, 5171, 9595, 81, 0, 0, 17, 21, 34, 2, 54982, 47192, 50226, 1, 0, 0, 373,-
23,r3,12, 1057272, 1035,"  1021f8:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4",benign, 860, 184, 10249, 3, 6844, 2688, 1, 567, 756, 0, 233, 53934, 550, 3, 7, 8644, 2, 376, 3, 33296, 11575, 21206, 0, 0, 30, 5064, 5154, 9594, 80, 0, 0, 17, 21, 34, 6, 54731, 47265, 50301, 1, 0, 0, 373,-
24,r0,25, 1052806, 1031,"  101084:	e3453a82 	movt	r3, #23170	; 0x5a82",benign, 747, 182, 10252, 2, 6852, 2690, 1, 567, 756, 0, 227, 54019, 550, 3, 7, 7958, 2, 376, 3, 32757, 11033, 21233, 0, 0, 30, 5075, 5150, 9606, 80, 0, 0, 20, 22, 36, 2, 54634, 46731, 49689, 1, 0, 0, 374,-
25,r2,27, 1060586, 1026,"  102ee8:	e0822003 	add	r2, r2, r3",benign, 975, 182, 10253, 2, 6830, 2691, 1, 567, 756, 0, 225, 54621, 550, 3, 7, 8774, 2, 375, 3, 33409, 11684, 21202, 0, 0, 30, 5058, 5176, 9601, 79, 0, 0, 17, 21, 34, 2, 55474, 47014, 49990, 1, 0, 0, 374,-
26,r1,30, 1058920, 1025,"  102868:	e51b305c 	ldr	r3, [fp, #-92]	; 0xffffffa4",benign, 913, 182, 10252, 3, 6842, 2689, 1, 567, 756, 0, 221, 54584, 550, 3, 7, 8704, 2, 378, 3, 32269, 10639, 21182, 0, 0, 30, 5072, 5161, 9604, 78, 0, 0, 17, 21, 34, 6, 54622, 46902, 49876, 1, 0, 0, 566,-
27,r1,25, 1052850, 1031,"  1010b0:	e50b3010 	str	r3, [fp, #-16]",benign, 734, 185, 10247, 2, 6845, 2686, 4, 567, 756, 0, 219, 54167, 550, 3, 7, 7583, 3, 389, 3, 32674, 10951, 21230, 0, 0, 30, 5202, 5025, 9602, 78, 0, 0, 20, 22, 36, 2, 54772, 46611, 49619, 1, 0, 0, 377,-
28,r3,19, 1051836, 1028,"  100cbc:	e0822003 	add	r2, r2, r3",benign, 682, 182, 10215, 3, 6825, 2689, 4, 567, 756, 0, 213, 53107, 550, 3, 7, 7913, 2, 379, 3, 32544, 10956, 21195, 0, 0, 30, 5079, 5162, 9606, 81, 0, 0, 17, 20, 34, 2, 53981, 46548, 49653, 1, 0, 0, 374,-
29,r0,26, 1056726, 1028,"  101fd4:	e50b300c 	str	r3, [fp, #-12]",benign, 851, 185, 10256, 2, 6851, 2688, 1, 567, 756, 0, 225, 54612, 550, 3, 7, 8706, 2, 379, 3, 33123, 11475, 21215, 0, 0, 30, 5079, 5152, 9604, 78, 0, 0, 17, 20, 34, 2, 54503, 47393, 50695, 1, 0, 0, 377,-
30,r1,25, 1057496, 1023,"  1022d8:	e0011003 	and	r1, r1, r3",benign, 865, 182, 10244, 3, 6834, 2690, 3, 567, 756, 0, 228, 54307, 550, 3, 7, 8333, 2, 379, 3, 33153, 11465, 21213, 0, 0, 30, 5067, 5166, 9625, 82, 0, 0, 17, 20, 34, 2, 53996, 46995, 50048, 1, 0, 0, 374,-
31,r3,4, 1059648, 1035,"  102b40:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 928, 182, 10256, 3, 6845, 2689, 1, 567, 756, 0, 218, 53546, 550, 3, 7, 8237, 2, 376, 3, 33620, 11935, 21214, 0, 0, 30, 5058, 5176, 9597, 79, 0, 0, 17, 21, 34, 5, 55597, 46612, 49659, 1, 0, 0, 373,-
32,r0,31, 1060149, 1029,"  102d34:	e51b3010 	ldr	r3, [fp, #-16]",benign, 965, 181, 10255, 2, 6851, 2689, 1, 567, 756, 0, 227, 54473, 550, 3, 7, 9101, 2, 379, 3, 33562, 11838, 21215, 0, 0, 30, 5069, 5176, 9609, 82, 0, 0, 20, 21, 36, 2, 54854, 47750, 50744, 1, 0, 0, 377,-
33,r3,13, 1053038, 1028,"  10116c:	e0822003 	add	r2, r2, r3",benign, 760, 184, 10225, 2, 6823, 2687, 1, 567, 756, 0, 225, 53870, 550, 3, 7, 7883, 2, 379, 3, 32730, 11076, 21219, 0, 0, 30, 5211, 5038, 9605, 81, 0, 0, 17, 20, 34, 2, 55238, 47003, 49998, 1, 0, 0, 384,-
34,r2,30, 1057023, 1024,"  1020fc:	e0822003 	add	r2, r2, r3",benign, 881, 181, 10240, 2, 6829, 2690, 1, 567, 756, 0, 224, 54290, 550, 3, 7, 8393, 2, 375, 3, 33137, 11485, 21223, 0, 0, 30, 5078, 5169, 9609, 82, 0, 0, 17, 21, 34, 2, 54883, 46862, 49932, 1, 0, 0, 377,-
35,r1,2, 1061156, 1031,"  103124:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8",benign, 952, 184, 10263, 3, 6848, 2694, 1, 567, 756, 0, 212, 53876, 550, 3, 7, 8861, 2, 376, 3, 33619, 11939, 21231, 0, 0, 30, 5432, 4800, 9611, 78, 0, 0, 17, 20, 34, 2, 53772, 47432, 50493, 1, 0, 0, 373,-
36,r0,2, 1058195, 1031,"  102590:	e1a03163 	ror	r3, r3, #2",benign, 1123, 393, 10251, 2, 6841, 2688, 1, 567, 756, 0, 222, 54328, 550, 3, 7, 8651, 2, 379, 3, 33152, 11398, 21211, 0, 0, 30, 5203, 5028, 9597, 80, 0, 0, 17, 20, 34, 2, 54769, 47355, 50407, 1, 0, 0, 374,-
37,r1,25, 1057065, 1029,"  102128:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 890, 197, 10253, 2, 6843, 2688, 1, 567, 756, 0, 227, 54174, 550, 3, 7, 8157, 2, 379, 3, 33010, 11383, 21235, 0, 0, 30, 5074, 5164, 9602, 80, 0, 0, 17, 20, 34, 2, 54616, 46685, 49732, 1, 0, 0, 377,-
39,r3,19, 1058958, 1030,"  10288c:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8",benign, 797, 17, 10249, 34, 6827, 2688, 4, 567, 756, 0, 223, 54294, 550, 3, 7, 8610, 2, 376, 3, 33659, 11990, 21241, 0, 0, 30, 5071, 5163, 9598, 78, 0, 0, 17, 21, 34, 2, 55247, 46995, 50009, 1, 0, 0, 374,-
40,r3,24, 1059095, 1029,"  102914:	e50b300c 	str	r3, [fp, #-12]",benign, 947, 185, 10230, 2, 6828, 2689, 1, 567, 756, 0, 221, 55257, 550, 3, 7, 8613, 2, 376, 3, 33372, 11625, 21217, 0, 0, 30, 5076, 5155, 9601, 78, 0, 0, 17, 21, 34, 2, 54735, 47304, 50482, 1, 0, 0, 374,-
41,r3,20, 1055138, 1032,"  1019a0:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4",benign, 802, 182, 10235, 2, 6840, 2688, 1, 567, 756, 0, 223, 54460, 550, 3, 7, 8032, 2, 379, 3, 33212, 11475, 21228, 0, 0, 30, 5193, 5041, 9605, 81, 0, 0, 17, 20, 34, 2, 54786, 47079, 50123, 1, 0, 0, 377,-
42,r0,3, 1059697, 1028,"  102b70:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0",benign, 967, 185, 10252, 2, 6840, 2688, 1, 567, 756, 0, 222, 54710, 550, 3, 7, 8767, 2, 379, 3, 33389, 11715, 21211, 0, 0, 30, 5181, 5046, 9596, 78, 0, 0, 17, 20, 34, 2, 55166, 47101, 50146, 1, 0, 0, 377,-
43,r2,11, 1061228, 1028,"  10316c:	e5832054 	str	r2, [r3, #84]	; 0x54",benign, 1048, 284, 10249, 3, 6841, 2693, 1, 567, 756, 0, 225, 54228, 550, 3, 7, 7574, 2, 376, 3, 32837, 11187, 21203, 0, 0, 30, 5038, 5182, 9608, 81, 0, 0, 20, 22, 36, 5, 54672, 45993, 49012, 1, 0, 0, 376,-
44,r2,13, 1056071, 1027,"  101d44:	e50b301c 	str	r3, [fp, #-28]	; 0xffffffe4",benign, 834, 194, 10236, 2, 6847, 2690, 1, 567, 756, 0, 222, 54737, 550, 3, 7, 8017, 2, 376, 3, 33079, 11407, 21213, 0, 0, 30, 5071, 5160, 9598, 79, 0, 0, 17, 20, 34, 2, 54784, 47038, 50062, 1, 0, 0, 373,-
