num,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
17,r0,19, 1088128,"  109a80:	e5932000 	ldr	r2, [r3]
",benign, 492, 244, 19569, 6, 13658, 4352, 0, 3729, 5351, 2, 742, 80349, 5556, 3, 131, 4855, 1614, 419, 3, 33279, 13032, 62737, 0, 0, 452, 20003, 18150, 18844, 139, 0, 0, 19, 74, 130, 3, 80159, 71497, 74693, 2, 0, 0, 321
18,r1,30, 1087776,"  109920:	e5933000 	ldr	r3, [r3]
",benign, 390, 239, 20060, 5, 13988, 4436, 1, 3806, 5455, 2, 686, 79417, 5680, 3, 129, 4936, 1280, 440, 3, 31358, 11680, 64081, 0, 0, 472, 20539, 18694, 19206, 143, 0, 0, 19, 84, 147, 4, 79697, 71926, 75122, 2, 0, 0, 318
19,r1,3, 1088185,"  109ab8:	e0823003 	add	r3, r2, r3
",benign, 500, 227, 18023, 3, 12578, 4010, 1, 3392, 4909, 2, 689, 74077, 5083, 3, 116, 5043, 1467, 422, 3, 30197, 12869, 58379, 0, 0, 422, 18686, 16993, 17335, 130, 0, 0, 19, 75, 137, 2, 73255, 65044, 68261, 2, 0, 0, 317
20,r2,19, 1087585,"  109860:	e52db004 	push	{fp}		; (str fp, [sp, #-4]!)
",benign, 111, 135, 542, 1, 380, 380, 1, 118, 279, 0, 128, 9667, 44, 3, 18, 1183, 20, 421, 3, 3651, 2796, 3209, 0, 0, 4, 602, 887, 752, 38, 0, 0, 19, 21, 126, 2, 10469, 1796, 5146, 1, 0, 0, 338
21,r3,27, 1087574,"  109854:	e320f000 	nop	{0}
",benign, 504, 254, 22152, 3, 15417, 4903, 1, 4175, 6037, 2, 773, 87251, 6313, 3, 143, 4684, 1614, 419, 3, 35261, 13078, 70574, 0, 0, 522, 22688, 20388, 21166, 152, 0, 0, 19, 78, 132, 2, 87126, 79001, 82224, 2, 0, 0, 316
22,r1,19, 1087618,"  109880:	e12fff1e 	bx	lr
",benign, 465, 227, 18016, 3, 12569, 4012, 1, 3392, 4909, 1, 659, 73076, 5083, 3, 114, 4634, 1331, 444, 3, 29701, 12199, 58129, 0, 0, 422, 18807, 16810, 17303, 125, 0, 0, 19, 54, 157, 3, 73853, 64850, 68083, 2, 0, 0, 316
23,r3,24, 1087631,"  10988c:	e24dde7f 	sub	sp, sp, #2032	; 0x7f0
",benign, 419, 253, 22124, 3, 15392, 4897, 2, 4175, 6037, 1, 740, 86828, 6313, 3, 142, 4959, 1442, 431, 3, 34690, 12968, 70390, 0, 0, 522, 22632, 20349, 21088, 152, 0, 0, 19, 93, 154, 4, 86960, 78348, 81815, 2, 0, 0, 317
25,r2,13, 1087687,"  1098c4:	e5932000 	ldr	r2, [r3]
",benign, 348, 130, 23620, 3, 16471, 5130, 1, 4474, 6345, 2, 750, 91304, 6641, 3, 144, 4990, 1381, 428, 3, 37190, 13300, 73981, 0, 0, 542, 23688, 21263, 22407, 153, 0, 0, 19, 83, 146, 5, 92229, 83763, 87024, 2, 0, 0, 318
26,r2,24, 1088019,"  109a10:	e3403012 	movt	r3, #18
",benign, 514, 232, 18816, 3, 13149, 4165, 1, 3562, 5125, 2, 711, 77269, 5309, 3, 120, 5038, 1347, 440, 3, 31960, 13175, 60387, 0, 0, 432, 19219, 17640, 18102, 132, 0, 0, 19, 63, 143, 2, 77339, 68833, 72276, 2, 0, 0, 338
27,r0,3, 1087685,"  1098c4:	e5932000 	ldr	r2, [r3]
",benign, 424, 240, 18809, 3, 13134, 4161, 0, 3563, 5125, 1, 699, 77054, 5308, 3, 118, 5201, 1424, 432, 3, 30906, 12262, 60385, 0, 0, 432, 19200, 17540, 18038, 129, 0, 0, 19, 47, 154, 5, 76820, 68495, 71790, 2, 0, 0, 317
0,r0,9, 1088301,"  109b2c:	ebffff4b 	bl	109860 <qcount>
",SDC, 35, 11, 550, 1, 410, 380, 0, 118, 280, 0, 131, 9865, 44, 3, 18, 1247, 16, 410, 3, 3743, 2900, 3205, 0, 0, 4, 596, 880, 749, 37, 0, 0, 19, 22, 125, 2, 10437, 1874, 5200, 1, 0, 0, 337
1,r1,14, 1087348,"  109774:	e2832001 	add	r2, r3, #1
",benign, 445, 230, 18813, 6, 13140, 4163, 1, 3563, 5124, 1, 707, 77363, 5308, 3, 118, 4697, 1336, 429, 3, 31565, 12817, 60305, 0, 0, 432, 19314, 17479, 18069, 130, 0, 0, 19, 66, 144, 10, 76782, 68825, 71982, 2, 0, 0, 318
2,r0,2, 1087374,"  10978c:	e8bd8800 	pop	{fp, pc}
",benign, 476, 237, 14228, 3, 9910, 3279, 1, 2712, 3933, 1, 608, 63662, 4028, 3, 125, 4779, 1509, 434, 3, 27336, 11586, 46547, 0, 0, 342, 14992, 13520, 13751, 110, 0, 0, 19, 99, 145, 5, 63654, 55177, 58388, 2, 0, 0, 337
3,r0,14, 1088090,"  109a58:	e1520003 	cmp	r2, r3
",benign, 520, 241, 22004, 3, 15344, 4850, 1, 4127, 5959, 2, 760, 86879, 6224, 3, 130, 4825, 1392, 442, 3, 35233, 13558, 70085, 0, 0, 512, 22619, 20242, 21022, 152, 0, 0, 19, 267, 142, 2, 87394, 78880, 82095, 2, 0, 0, 316
4,r0,21, 1087144,"  1096a8:	e50b1014 	str	r1, [fp, #-20]	; 0xffffffec
",benign, 405, 245, 14170, 5, 9871, 3265, 1, 2695, 3914, 1, 586, 61843, 4009, 3, 124, 4626, 1299, 434, 3, 26617, 11607, 46435, 0, 0, 342, 14849, 13499, 13716, 116, 0, 0, 19, 64, 145, 5, 61992, 54084, 57281, 2, 0, 0, 335
5,r3,9, 1087923,"  1099b0:	e30834d8 	movw	r3, #34008	; 0x84d8
",benign, 492, 227, 18042, 3, 12590, 4016, 2, 3392, 4909, 2, 684, 73702, 5083, 3, 115, 4985, 1294, 486, 3, 29695, 12235, 58413, 0, 0, 422, 18794, 16875, 17322, 128, 0, 0, 19, 55, 134, 2, 73612, 65495, 68722, 2, 0, 0, 317
