num,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
16,r3,4, 1055570, 1031,"  101b50:	e0822003 	add	r2, r2, r3",benign, 606, 181, 10232, 2, 6848, 2691, 1, 567, 756, 0, 206, 53345, 550, 3, 7, 8082, 2, 375, 3, 31948, 10268, 21229, 0, 0, 30, 5064, 5166, 9609, 79, 0, 0, 17, 21, 34, 2, 53670, 45932, 48934, 1, 0, 0, 374,-
17,r0,3, 1051393, 1029,"  100b00:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8",benign, 613, 184, 10233, 2, 6859, 2691, 1, 567, 756, 0, 209, 53600, 550, 3, 7, 7357, 2, 379, 3, 32502, 10804, 21237, 0, 0, 30, 4880, 5351, 9610, 77, 0, 0, 17, 20, 34, 2, 54498, 46153, 49163, 1, 0, 0, 373,-
18,r0,3, 1059739, 1031,"  102b98:	e50b3010 	str	r3, [fp, #-16]",benign, 601, 182, 10249, 2, 6855, 2691, 1, 567, 756, 0, 212, 53713, 550, 3, 7, 7693, 2, 379, 3, 32553, 10910, 21223, 0, 0, 30, 4876, 5359, 9614, 81, 0, 0, 17, 21, 34, 2, 54285, 45806, 48841, 1, 0, 0, 377,-
19,r0,9, 1054110, 1028,"  10159c:	e51b3010 	ldr	r3, [fp, #-16]",benign, 597, 182, 10241, 2, 6865, 2696, 1, 567, 756, 0, 213, 53273, 550, 3, 7, 7542, 2, 376, 3, 32562, 10820, 21170, 0, 0, 30, 4880, 5353, 9613, 79, 0, 0, 17, 21, 34, 2, 53524, 46420, 49740, 1, 0, 0, 377,-
20,r1,29, 1054684, 1026,"  1017dc:	e51b1010 	ldr	r1, [fp, #-16]",benign, 593, 181, 10238, 2, 6866, 2693, 1, 567, 756, 0, 217, 53998, 550, 3, 7, 7449, 2, 376, 3, 31857, 10233, 21196, 0, 0, 30, 5071, 5165, 9602, 79, 0, 0, 17, 20, 34, 2, 53646, 45774, 48787, 1, 0, 0, 374,-
21,r2,8, 1053270, 1032,"  101254:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4",benign, 605, 182, 10229, 2, 6851, 2693, 1, 567, 756, 0, 214, 53263, 550, 3, 7, 7391, 2, 376, 3, 32015, 10332, 21259, 0, 0, 30, 5063, 5150, 9603, 78, 0, 0, 17, 20, 34, 2, 53708, 45831, 48927, 1, 0, 0, 374,-
22,r2,6, 1056711, 1028,"  101fc4:	e1a03163 	ror	r3, r3, #2",benign, 601, 182, 10235, 2, 6856, 2690, 1, 567, 756, 0, 219, 53300, 550, 3, 7, 8013, 2, 376, 3, 31852, 10145, 21183, 0, 0, 30, 4878, 5328, 9609, 81, 0, 0, 17, 21, 34, 2, 53980, 46274, 49254, 1, 0, 0, 377,-
23,r2,26, 1057564, 1029,"  10231c:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 609, 182, 10238, 2, 6851, 2688, 3, 567, 756, 0, 209, 53109, 550, 3, 7, 7384, 2, 377, 3, 32259, 10521, 21188, 0, 0, 30, 4873, 5352, 9610, 81, 0, 0, 17, 20, 34, 2, 53824, 46324, 49270, 1, 0, 0, 373,-
24,r3,28, 1056674, 1029,"  101fa0:	e30b3cdc 	movw	r3, #48348	; 0xbcdc",benign, 608, 181, 10226, 2, 6846, 2691, 1, 567, 756, 0, 212, 53203, 550, 3, 7, 7434, 2, 379, 3, 31872, 10203, 21229, 0, 0, 30, 5022, 5219, 9624, 79, 0, 0, 17, 21, 34, 2, 53761, 46055, 49069, 1, 0, 0, 377,-
25,r1,26, 1054818, 1034,"  101860:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4",benign, 606, 182, 10236, 2, 6865, 2691, 1, 567, 756, 0, 219, 53877, 550, 3, 7, 7406, 2, 375, 3, 32623, 10928, 21220, 0, 0, 30, 5061, 5164, 9603, 79, 0, 0, 17, 20, 34, 2, 53667, 46334, 49518, 1, 0, 0, 377,-
