1, 854, 35, 10183, 2, 6837, 2698, 1, 571, 757, 0, 232, 54708, 552, 3, 44, 8866, 584, 420, 3, 33416, 12003, 21279, 0, 0, 32, 5544, 4614, 9595, 99, 0, 0, 19, 22, 247, 2, 55352, 46785, 49937, 1, 0, 0, 316
1, 649, 160, 10191, 3, 6835, 2699, 1, 571, 757, 0, 231, 53975, 552, 3, 45, 7823, 375, 409, 3, 32733, 11202, 21243, 0, 0, 32, 5475, 4672, 9596, 97, 0, 0, 19, 22, 134, 5, 54600, 46119, 49286, 1, 0, 0, 328
1, 818, 182, 10213, 2, 6841, 2699, 1, 571, 757, 0, 229, 54347, 552, 3, 44, 8175, 358, 417, 3, 33344, 11867, 21290, 0, 0, 32, 5498, 4662, 9607, 98, 0, 0, 19, 22, 323, 2, 55312, 46423, 49590, 1, 0, 0, 317
1, 910, 169, 10186, 3, 6836, 2699, 1, 571, 757, 0, 238, 54733, 552, 3, 44, 9034, 376, 409, 3, 32890, 11391, 21261, 0, 0, 32, 5291, 4858, 9596, 97, 0, 0, 19, 22, 125, 5, 55352, 46836, 50223, 1, 0, 0, 316
0, 704, 160, 10217, 2, 6854, 2697, 1, 571, 762, 0, 227, 54944, 557, 3, 44, 8458, 372, 420, 3, 33736, 11731, 21337, 0, 0, 32, 5517, 4648, 9619, 102, 0, 0, 19, 22, 134, 2, 55501, 47300, 50489, 1, 0, 0, 335
0, 806, 211, 10214, 3, 6853, 2698, 1, 571, 762, 0, 238, 54368, 557, 3, 45, 8514, 283, 421, 3, 33714, 11798, 21275, 0, 0, 32, 5515, 4664, 9617, 98, 0, 0, 19, 22, 124, 4, 55100, 47305, 50494, 1, 0, 0, 316
1, 809, 159, 10202, 2, 6829, 2696, 1, 571, 757, 0, 234, 54377, 552, 3, 44, 8626, 371, 422, 3, 33260, 11842, 21320, 0, 0, 32, 5502, 4664, 9608, 98, 0, 0, 19, 22, 124, 2, 55350, 46640, 49814, 1, 0, 0, 329
0, 917, 161, 10208, 2, 6857, 2699, 1, 571, 762, 0, 226, 55676, 557, 3, 44, 8873, 340, 419, 3, 34113, 12143, 21333, 0, 0, 32, 5311, 4858, 9624, 101, 0, 0, 19, 22, 134, 2, 55753, 47435, 50831, 1, 0, 0, 338
0, 756, 161, 10207, 2, 6848, 2697, 1, 571, 762, 0, 236, 55261, 557, 3, 44, 8684, 351, 418, 3, 33557, 11620, 21332, 0, 0, 32, 5435, 4719, 9612, 99, 0, 0, 19, 22, 170, 2, 55474, 47438, 50696, 1, 0, 0, 316
0, 803, 169, 10221, 2, 6855, 2699, 1, 571, 762, 0, 233, 54928, 557, 3, 45, 8863, 370, 408, 3, 33667, 11708, 21311, 0, 0, 32, 5444, 4725, 9617, 100, 0, 0, 19, 22, 134, 2, 55736, 47584, 50929, 1, 0, 0, 316
0, 667, 160, 10209, 2, 6852, 2699, 0, 571, 762, 0, 233, 54831, 557, 3, 44, 8156, 371, 419, 3, 33829, 11899, 21294, 0, 0, 32, 5315, 4867, 9612, 98, 0, 0, 19, 22, 135, 2, 55471, 47657, 50869, 1, 0, 0, 316
0, 742, 159, 10215, 2, 6849, 2698, 1, 571, 762, 0, 232, 55151, 557, 3, 45, 8414, 282, 420, 3, 33399, 11475, 21311, 0, 0, 32, 5570, 4595, 9616, 98, 0, 0, 19, 22, 124, 2, 55567, 47771, 50934, 1, 0, 0, 339
1, 629, 160, 10184, 2, 6832, 2700, 1, 571, 757, 0, 236, 54167, 552, 3, 44, 8063, 562, 417, 3, 32780, 11237, 21287, 0, 0, 32, 5282, 4867, 9595, 98, 0, 0, 19, 22, 125, 2, 54639, 46972, 50122, 1, 0, 0, 316
0, 713, 182, 10222, 2, 6857, 2698, 1, 571, 762, 0, 231, 55106, 557, 3, 44, 8276, 573, 408, 3, 33031, 11101, 21293, 0, 0, 32, 5501, 4644, 9610, 96, 0, 0, 19, 22, 124, 2, 55012, 47042, 50213, 1, 0, 0, 316
0, 871, 161, 10212, 2, 6852, 2701, 1, 571, 762, 0, 237, 55430, 557, 3, 44, 9142, 373, 408, 3, 33887, 11964, 21307, 0, 0, 32, 5531, 4666, 9606, 97, 0, 0, 19, 22, 125, 2, 56068, 47909, 51146, 1, 0, 0, 329
1, 850, 160, 10196, 2, 6844, 2702, 1, 571, 757, 0, 226, 54611, 552, 3, 44, 8561, 364, 420, 3, 33125, 11661, 21307, 0, 0, 32, 5326, 4834, 9611, 100, 0, 0, 19, 22, 125, 2, 55420, 47096, 50389, 1, 0, 0, 316
0, 789, 181, 10215, 3, 6852, 2699, 1, 571, 762, 0, 235, 54855, 557, 3, 44, 8811, 376, 409, 3, 33567, 11677, 21282, 0, 0, 32, 5499, 4651, 9622, 101, 0, 0, 19, 22, 124, 4, 55550, 47193, 50409, 1, 0, 0, 316
0, 786, 161, 10190, 2, 6853, 2701, 1, 571, 762, 0, 237, 55135, 557, 3, 44, 8184, 369, 409, 3, 33382, 11497, 21320, 0, 0, 32, 5516, 4668, 9628, 100, 0, 0, 19, 24, 313, 2, 56050, 47114, 50300, 1, 0, 0, 318
0, 801, 159, 10213, 2, 6857, 2697, 2, 571, 762, 0, 237, 55061, 557, 3, 44, 8950, 367, 410, 3, 33619, 11710, 21317, 0, 0, 32, 5303, 4869, 9611, 98, 0, 0, 19, 22, 134, 2, 55552, 47120, 50312, 1, 0, 0, 317
0, 718, 159, 10216, 2, 6855, 2698, 1, 571, 762, 0, 230, 54942, 557, 3, 44, 8089, 339, 552, 3, 33683, 11768, 21305, 0, 0, 32, 5323, 4826, 9623, 101, 0, 0, 19, 22, 124, 2, 55628, 47462, 50630, 1, 0, 0, 318
0, 796, 178, 10219, 2, 6852, 2698, 1, 571, 762, 0, 229, 54915, 557, 3, 45, 8282, 566, 409, 3, 33980, 12016, 21350, 0, 0, 32, 5497, 4665, 9617, 102, 0, 0, 19, 22, 124, 2, 55488, 47420, 50632, 1, 0, 0, 319
1, 698, 179, 10186, 2, 6829, 2697, 1, 571, 757, 0, 240, 54248, 552, 3, 44, 8434, 370, 420, 3, 33202, 11644, 21300, 0, 0, 32, 5475, 4681, 9611, 99, 0, 0, 17, 22, 125, 2, 54843, 46788, 49935, 1, 0, 0, 316
0, 748, 161, 10214, 2, 6848, 2696, 1, 571, 762, 0, 234, 54798, 557, 3, 44, 8476, 373, 427, 3, 33407, 11478, 21332, 0, 0, 32, 5514, 4684, 9622, 99, 0, 0, 19, 21, 124, 2, 55684, 47376, 50542, 1, 0, 0, 316
0, 739, 171, 10210, 3, 6850, 2700, 1, 571, 762, 0, 240, 54955, 557, 3, 44, 8314, 376, 440, 3, 33677, 11692, 21326, 0, 0, 32, 5576, 4573, 9612, 99, 0, 0, 19, 22, 125, 4, 55483, 46948, 50143, 1, 0, 0, 316
1, 849, 181, 10196, 2, 6831, 2699, 1, 571, 757, 0, 233, 55074, 552, 3, 44, 8855, 335, 411, 3, 33094, 11563, 21326, 0, 0, 32, 5506, 4651, 9604, 99, 0, 0, 19, 22, 124, 2, 55136, 46804, 50053, 1, 0, 0, 316
0, 920, 160, 10221, 2, 6849, 2697, 1, 571, 762, 0, 233, 55017, 557, 3, 45, 9020, 375, 411, 3, 33831, 11790, 21328, 0, 0, 32, 5491, 4666, 9610, 99, 0, 0, 19, 22, 124, 2, 55565, 47614, 50770, 1, 0, 0, 339
0, 827, 161, 10213, 2, 6848, 2696, 1, 571, 762, 0, 228, 55078, 557, 3, 44, 8857, 359, 428, 3, 33757, 11748, 21320, 0, 0, 32, 5566, 4579, 9624, 98, 0, 0, 19, 22, 125, 2, 55839, 47411, 50609, 1, 0, 0, 317
0, 900, 159, 10215, 3, 6853, 2699, 1, 571, 762, 0, 236, 55063, 557, 3, 44, 8915, 376, 427, 3, 33755, 11786, 21349, 0, 0, 32, 5510, 4651, 9616, 100, 0, 0, 19, 22, 125, 4, 56041, 47437, 50611, 1, 0, 0, 329
