num,reg,pos,loc,reg,pos,loc,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
1,r2,0, 1085200,r3,13, 1085200,r2,28, 1085200, 1045,"  108f10:	e1a03000 	mov	r3, r0",benign, 299, 150, 5163, 4, 3417, 1202, 1, 972, 1105, 0, 256, 44300, 1040, 3, 34, 2970, 443, 412, 3, 31114, 5890, 12120, 0, 0, 175, 3044, 2945, 4758, 56, 0, 0, 19, 22, 142, 4, 44582, 36579, 39878, 1, 0, 0, 316,-
2,r0,2, 1085280,r1,4, 1085280,r2,23, 1085280, 1041,"  108f60:	e1520003 	cmp	r2, r3",SDC, 303, 156, 4883, 4, 3225, 1165, 1, 870, 1008, 0, 249, 43444, 919, 3, 33, 2891, 374, 419, 3, 31223, 5982, 11398, 0, 0, 155, 2758, 2715, 4500, 50, 0, 0, 19, 22, 121, 4, 43729, 35690, 38921, 1, 0, 0, 326,-
3,r2,9, 1085311,r1,3, 1085311,r2,20, 1085311, 1046,"  108f7c:	e2433107 	sub	r3, r3, #-1073741823	; 0xc0000001",benign, 410, 149, 4920, 2, 3245, 1176, 1, 887, 1033, 0, 252, 44004, 950, 3, 33, 2885, 349, 418, 3, 31440, 6313, 11611, 0, 0, 157, 2857, 2771, 4557, 53, 0, 0, 19, 22, 120, 2, 44407, 36319, 39614, 1, 0, 0, 318,-
6,r1,18, 1085018,r2,6, 1085018,r2,23, 1085018, 1043,"  108e58:	e24dd014 	sub	sp, sp, #20",benign, 315, 25, 4904, 2, 3245, 1164, 1, 854, 1005, 0, 261, 43182, 909, 3, 33, 2964, 432, 413, 3, 31578, 6552, 11295, 0, 0, 144, 2751, 2713, 4366, 49, 0, 0, 19, 22, 119, 2, 44003, 35908, 39231, 1, 0, 0, 317,-
7,r0,31, 1085095,r0,1, 1085095,r2,11, 1085095, 1041,"  108ea4:	e24dd010 	sub	sp, sp, #16",SDC, 380, 148, 5124, 2, 3294, 1167, 1, 866, 1127, 0, 234, 59471, 88, 3, 15, 1172, 69, 418, 3, 3805, 2959, 3494, 0, 0, 7, 621, 898, 947, 48, 0, 0, 19, 23, 142, 2, 10771, 2525, 5567, 1, 0, 0, 322,-
3,r3,29, 1085010,r1,8, 1085010,r0,30, 1085010, 1063,"  108e50:	e52db004 	push	{fp}		; (str fp, [sp, #-4]!)",SDC, 320, 28, 5076, 4, 3352, 1214, 1, 912, 1052, 2, 274, 44783, 977, 3, 38, 2893, 543, 531, 3, 32133, 6467, 11998, 0, 0, 165, 2926, 2851, 4684, 54, 0, 0, 19, 22, 234, 7, 45117, 36951, 40153, 3, 0, 0, 324,-
8,r1,20, 1085023,r0,29, 1085023,r0,3, 1085023, 1044,"  108e5c:	e50b0010 	str	r0, [fp, #-16]",SDC, 320, 26, 5017, 3, 3334, 1204, 1, 879, 1028, 0, 256, 44411, 944, 3, 37, 2954, 545, 593, 3, 32081, 6214, 11796, 0, 0, 156, 2885, 2808, 4615, 52, 0, 0, 19, 22, 323, 8, 45415, 36646, 39843, 3, 0, 0, 316,-
3,r0,3, 1085150,r3,9, 1085150,r1,23, 1085150, 1061,"  108edc:	e51b3008 	ldr	r3, [fp, #-8]",benign, 311, 24, 4946, 2, 3279, 1158, 1, 905, 1048, 0, 257, 43931, 966, 3, 33, 3116, 395, 413, 3, 31804, 6589, 11680, 0, 0, 157, 2870, 2822, 4524, 51, 0, 0, 19, 20, 142, 2, 45120, 36218, 39482, 1, 0, 0, 335,-
4,r2,7, 1085021,r1,25, 1085021,r3,10, 1085021, 1042,"  108e5c:	e50b0010 	str	r0, [fp, #-16]",SDC, 394, 151, 4978, 2, 3291, 1190, 1, 905, 1046, 0, 272, 44201, 966, 3, 34, 2906, 390, 420, 3, 32031, 6400, 11790, 0, 0, 160, 2885, 2847, 4602, 51, 0, 0, 19, 22, 142, 2, 44605, 36703, 39950, 1, 0, 0, 316,-
7,r1,11, 1085069,r1,6, 1085069,r1,9, 1085069, 1045,"  108e8c:	e320f000 	nop	{0}",benign, 320, 25, 5176, 2, 3456, 1211, 1, 972, 1105, 0, 256, 44637, 1040, 3, 34, 3096, 435, 421, 3, 32077, 6682, 12203, 0, 0, 175, 3023, 2940, 4746, 54, 0, 0, 19, 21, 142, 2, 45073, 36657, 39963, 1, 0, 0, 318,-
0,r1,21, 1085194,r0,9, 1085194,r3,5, 1085194, 1056,"  108f08:	e1a01003 	mov	r1, r3",SDC, 313, 27, 4721, 4, 3109, 1111, 1, 847, 987, 0, 249, 43670, 893, 3, 36, 3293, 673, 746, 3, 31416, 6089, 11148, 0, 0, 146, 2667, 2648, 4343, 50, 0, 0, 19, 23, 249, 10, 44169, 35742, 38919, 3, 0, 0, 328,-
1,r1,19, 1085019,r3,22, 1085019,r0,26, 1085019, 1044,"  108e58:	e24dd014 	sub	sp, sp, #20",SDC, 402, 158, 4992, 2, 3291, 1199, 1, 838, 988, 0, 253, 43762, 893, 3, 33, 2940, 379, 411, 3, 31411, 6139, 11367, 0, 0, 145, 2768, 2701, 4442, 48, 0, 0, 19, 20, 122, 2, 44288, 36295, 39585, 1, 0, 0, 322,-
3,r2,24, 1085337,r2,9, 1085337,r2,9, 1085337, 1046,"  108f98:	e2832001 	add	r2, r3, #1",benign, 320, 24, 4951, 2, 3275, 1182, 1, 887, 1033, 0, 264, 44100, 950, 3, 33, 2947, 749, 413, 3, 31854, 6776, 11601, 0, 0, 157, 2859, 2799, 4543, 52, 0, 0, 19, 22, 142, 2, 44653, 36206, 39596, 1, 0, 0, 322,-
