num,reg,pos,loc,reg,pos,loc,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
11,r2,25, 1077822,"  10723c:	e7931101 	ldr	r1, [r3, r1, lsl #2]
",r3,22, 1077822,"  10723c:	e7931101 	ldr	r1, [r3, r1, lsl #2]
",r1,17, 1077822,"  10723c:	e7931101 	ldr	r1, [r3, r1, lsl #2]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,r3,0, 1076814,"  106e4c:	e2800c02 	add	r0, r0, #512	; 0x200
",r3,29, 1076814,"  106e4c:	e2800c02 	add	r0, r0, #512	; 0x200
",r2,7, 1076814,"  106e4c:	e2800c02 	add	r0, r0, #512	; 0x200
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,r2,10, 1063517,"  103a5c:	e51b3008 	ldr	r3, [fp, #-8]
",r2,2, 1063517,"  103a5c:	e51b3008 	ldr	r3, [fp, #-8]
",r1,27, 1063517,"  103a5c:	e51b3008 	ldr	r3, [fp, #-8]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,r1,1, 1070840,"  1056f8:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4
",r2,19, 1070840,"  1056f8:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4
",r0,21, 1070840,"  1056f8:	e51b301c 	ldr	r3, [fp, #-28]	; 0xffffffe4
",SDC, 700, 228, 3884, 4, 2997, 876, 1, 324, 503, 13, 234, 44865, 293, 3, 240, 4425, 11535, 419, 10, 31241, 7107, 11673, 0, 0, 26, 3210, 3166, 3923, 37, 0, 0, 19, 23, 127, 4, 44961, 36127, 39693, 1, 0, 0, 317
15,r1,14, 1066669,"  1046ac:	e1a01003 	mov	r1, r3
",r1,12, 1066669,"  1046ac:	e1a01003 	mov	r1, r3
",r3,24, 1066669,"  1046ac:	e1a01003 	mov	r1, r3
",SDC, 746, 348, 3867, 2, 2961, 865, 1, 324, 504, 13, 231, 45726, 293, 3, 235, 4379, 11879, 419, 15, 32388, 7686, 11765, 0, 0, 26, 3175, 3169, 3928, 38, 0, 0, 19, 23, 137, 2, 46458, 37496, 41272, 1, 0, 0, 317
16,r3,24, 1063285,"  103974:	e51b3008 	ldr	r3, [fp, #-8]
",r3,10, 1063285,"  103974:	e51b3008 	ldr	r3, [fp, #-8]
",r0,23, 1063285,"  103974:	e51b3008 	ldr	r3, [fp, #-8]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,r1,7, 1077088,"  106f60:	e2800c01 	add	r0, r0, #256	; 0x100
",r3,7, 1077088,"  106f60:	e2800c01 	add	r0, r0, #256	; 0x100
",r2,24, 1077088,"  106f60:	e2800c01 	add	r0, r0, #256	; 0x100
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,r0,3, 1071526,"  1059a4:	e50b3024 	str	r3, [fp, #-36]	; 0xffffffdc
",r1,5, 1071526,"  1059a4:	e50b3024 	str	r3, [fp, #-36]	; 0xffffffdc
",r1,26, 1071526,"  1059a4:	e50b3024 	str	r3, [fp, #-36]	; 0xffffffdc
",benign, 824, 230, 3822, 2, 2959, 852, 1, 340, 505, 13, 225, 45535, 294, 3, 239, 4786, 11588, 418, 13, 32511, 8301, 11617, 0, 0, 26, 3160, 3148, 3839, 33, 0, 0, 17, 22, 135, 2, 45840, 37619, 41185, 1, 0, 0, 317
19,r0,6, 1081742,"  10818c:	e51b3008 	ldr	r3, [fp, #-8]
",r3,21, 1081742,"  10818c:	e51b3008 	ldr	r3, [fp, #-8]
",r1,28, 1081742,"  10818c:	e51b3008 	ldr	r3, [fp, #-8]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,r3,19, 1075719,"  106a04:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec
",r0,26, 1075719,"  106a04:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec
",r2,3, 1075719,"  106a04:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,r3,26, 1074751,"  10663c:	e6ef3073 	uxtb	r3, r3
",r0,2, 1074751,"  10663c:	e6ef3073 	uxtb	r3, r3
",r2,26, 1074751,"  10663c:	e6ef3073 	uxtb	r3, r3
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,r1,8, 1069445,"  105184:	e6ef3073 	uxtb	r3, r3
",r3,30, 1069445,"  105184:	e6ef3073 	uxtb	r3, r3
",r0,10, 1069445,"  105184:	e6ef3073 	uxtb	r3, r3
",SDC, 763, 230, 3888, 2, 2994, 869, 1, 324, 504, 13, 237, 45955, 293, 3, 239, 4357, 11737, 409, 15, 32521, 8032, 11759, 0, 0, 26, 3173, 3186, 3914, 36, 0, 0, 17, 21, 135, 2, 46619, 37990, 41555, 1, 0, 0, 317
23,r3,20, 1082040,"  1082b8:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8
",r2,3, 1082040,"  1082b8:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8
",r3,6, 1082040,"  1082b8:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,r2,28, 1064417,"  103de0:	e2832f42 	add	r2, r3, #264	; 0x108
",r2,5, 1064417,"  103de0:	e2832f42 	add	r2, r3, #264	; 0x108
",r3,0, 1064417,"  103de0:	e2832f42 	add	r2, r3, #264	; 0x108
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,r0,20, 1065557,"  104254:	e3a03000 	mov	r3, #0
",r2,5, 1065557,"  104254:	e3a03000 	mov	r3, #0
",r0,20, 1065557,"  104254:	e3a03000 	mov	r3, #0
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,r2,2, 1082098,"  1082f0:	e30c3cc0 	movw	r3, #52416	; 0xccc0
",r0,31, 1082098,"  1082f0:	e30c3cc0 	movw	r3, #52416	; 0xccc0
",r2,5, 1082098,"  1082f0:	e30c3cc0 	movw	r3, #52416	; 0xccc0
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,r2,29, 1068135,"  104c64:	e51b3010 	ldr	r3, [fp, #-16]
",r2,30, 1068135,"  104c64:	e51b3010 	ldr	r3, [fp, #-16]
",r3,26, 1068135,"  104c64:	e51b3010 	ldr	r3, [fp, #-16]
",SDC, 718, 230, 3898, 2, 3004, 874, 1, 324, 504, 12, 231, 46025, 293, 3, 247, 4043, 12054, 409, 16, 32524, 7536, 11744, 0, 0, 26, 3179, 3171, 3917, 36, 0, 0, 19, 23, 128, 2, 46220, 37734, 41285, 1, 0, 0, 316
28,r2,15, 1064780,"  103f4c:	e51b3008 	ldr	r3, [fp, #-8]
",r1,18, 1064780,"  103f4c:	e51b3008 	ldr	r3, [fp, #-8]
",r1,8, 1064780,"  103f4c:	e51b3008 	ldr	r3, [fp, #-8]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,r3,30, 1073492,"  106154:	e0233001 	eor	r3, r3, r1
",r0,17, 1073492,"  106154:	e0233001 	eor	r3, r3, r1
",r2,7, 1073492,"  106154:	e0233001 	eor	r3, r3, r1
",SDC, 782, 223, 3855, 4, 2972, 856, 1, 336, 503, 12, 223, 44662, 293, 3, 238, 4145, 11337, 418, 12, 31549, 7136, 11574, 0, 0, 26, 3165, 3160, 3865, 36, 0, 0, 19, 23, 128, 4, 44890, 36703, 40269, 1, 0, 0, 317
30,r3,11, 1066989,"  1047ec:	e3403011 	movt	r3, #17
",r2,7, 1066989,"  1047ec:	e3403011 	movt	r3, #17
",r2,0, 1066989,"  1047ec:	e3403011 	movt	r3, #17
",SDC, 751, 348, 3865, 2, 2960, 864, 1, 324, 504, 14, 229, 45383, 293, 3, 235, 4181, 11705, 418, 15, 32485, 7392, 11763, 0, 0, 26, 3160, 3177, 3923, 35, 0, 0, 17, 21, 136, 2, 46249, 37640, 41393, 1, 0, 0, 316
31,r2,29, 1067903,"  104b7c:	e3403011 	movt	r3, #17
",r1,28, 1067903,"  104b7c:	e3403011 	movt	r3, #17
",r0,19, 1067903,"  104b7c:	e3403011 	movt	r3, #17
",SDC, 783, 344, 3868, 2, 2964, 866, 1, 324, 503, 13, 231, 45381, 293, 3, 237, 4408, 11642, 419, 8, 32246, 8149, 11677, 0, 0, 26, 3216, 3143, 3921, 35, 0, 0, 19, 23, 128, 2, 45686, 37285, 40862, 1, 0, 0, 316
32,r2,1, 1074841,"  106698:	e51b3020 	ldr	r3, [fp, #-32]	; 0xffffffe0
",r3,29, 1074841,"  106698:	e51b3020 	ldr	r3, [fp, #-32]	; 0xffffffe0
",r2,5, 1074841,"  106698:	e51b3020 	ldr	r3, [fp, #-32]	; 0xffffffe0
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
