num,reg,pos,loc,reg,pos,loc,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
15,r0,5, 1049913,r2,3, 1049913,r1,0, 1049913, 1066,"  100538:	e3083034 	movw	r3, #32820	; 0x8034",benign, 434, 198, 2867, 2, 1766, 1089, 1, 526, 724, 0, 253, 25527, 521, 3, 94, 3071, 1330, 425, 3, 15092, 7588, 8283, 0, 0, 33, 1878, 2028, 2917, 94, 0, 0, 19, 75, 127, 2, 25476, 17464, 20923, 1, 0, 0, 316,-
16,r1,3, 1050264,r0,8, 1050264,r2,6, 1050264, 1064,"  100698:	e3530000 	cmp	r3, #0",benign, 340, 204, 2895, 4, 1788, 1090, 1, 533, 737, 0, 253, 24585, 535, 3, 93, 3108, 1308, 403, 3, 15109, 7398, 8357, 0, 0, 34, 1891, 2088, 2939, 92, 0, 0, 19, 72, 127, 5, 25707, 16955, 20196, 1, 0, 0, 319,-
17,r3,25, 1050094,r2,31, 1050094,r1,0, 1050094, 1069,"  1005ec:	e24dd010 	sub	sp, sp, #16",benign, 434, 201, 2734, 2, 1675, 1073, 1, 511, 708, 0, 243, 22880, 506, 3, 94, 2952, 1054, 433, 3, 13428, 8157, 7989, 0, 0, 34, 1789, 1970, 2802, 92, 0, 0, 19, 22, 119, 2, 23565, 15322, 18787, 1, 0, 0, 323,-
18,r1,21, 1049914,r2,27, 1049914,r3,25, 1049914, 1074,"  100538:	e3083034 	movw	r3, #32820	; 0x8034",benign, 451, 219, 2875, 2, 1769, 1087, 1, 527, 733, 0, 259, 25303, 530, 3, 94, 3288, 1379, 412, 3, 15307, 7871, 8268, 0, 0, 34, 1892, 2056, 2911, 91, 0, 0, 19, 22, 128, 2, 25777, 17921, 21152, 1, 0, 0, 323,-
19,r3,6, 1050288,r3,3, 1050288,r0,15, 1050288, 1062,"  1006b0:	e1540003 	cmp	r4, r3",benign, 335, 209, 2877, 3, 1768, 1091, 1, 525, 724, 0, 246, 24768, 520, 3, 93, 3258, 1043, 565, 3, 14776, 7202, 8209, 0, 0, 33, 1868, 2059, 2904, 91, 0, 0, 19, 78, 120, 5, 25076, 16923, 20350, 1, 0, 0, 339,-
20,r1,31, 1049945,r3,18, 1049945,r0,25, 1049945, 1073,"  100558:	e35300ff 	cmp	r3, #255	; 0xff",benign, 426, 174, 1325, 2, 910, 597, 0, 322, 554, 0, 262, 21694, 359, 3, 68, 3433, 1159, 400, 3, 14254, 8255, 5591, 0, 0, 41, 1302, 1453, 1560, 91, 0, 0, 19, 64, 119, 2, 22314, 17267, 20487, 1, 0, 0, 317,-
21,r3,9, 1050141,r0,17, 1050141,r0,0, 1050141, 1069,"  10061c:	e1540003 	cmp	r4, r3",benign, 623, 398, 2731, 2, 1675, 1072, 2, 511, 709, 0, 243, 22762, 506, 3, 94, 3096, 1148, 431, 3, 13231, 7937, 8003, 0, 0, 34, 1782, 1971, 2795, 92, 0, 0, 19, 75, 119, 2, 23570, 15324, 18577, 1, 0, 0, 316,-
22,r0,0, 1049915,r1,23, 1049915,r0,6, 1049915, 1071,"  100538:	e3083034 	movw	r3, #32820	; 0x8034",benign, 417, 198, 2803, 2, 1716, 1083, 0, 516, 709, 0, 245, 24982, 506, 3, 92, 3198, 1052, 413, 3, 14825, 7456, 8059, 0, 0, 33, 1837, 2019, 2861, 93, 0, 0, 19, 78, 120, 2, 25492, 17239, 20467, 1, 0, 0, 320,-
23,r2,22, 1049936,r2,28, 1049936,r2,13, 1049936, 1067,"  100550:	e50b3008 	str	r3, [fp, #-8]",benign, 356, 203, 2752, 4, 1692, 1074, 1, 522, 730, 0, 262, 22528, 528, 3, 94, 3629, 1051, 412, 3, 12493, 7490, 8043, 0, 0, 35, 1827, 2011, 2815, 91, 0, 0, 19, 65, 127, 5, 22960, 14991, 18291, 1, 0, 0, 317,-
24,r1,2, 1049852,r3,11, 1049852,r2,12, 1049852, 1065,"  1004fc:	e28db004 	add	fp, sp, #4",benign, 328, 201, 2800, 3, 1707, 1084, 0, 511, 701, 0, 234, 24250, 498, 3, 92, 2959, 1057, 402, 3, 14490, 6946, 7988, 0, 0, 33, 1768, 1976, 2833, 92, 0, 0, 19, 24, 119, 5, 24649, 16620, 20121, 1, 0, 0, 368,-
25,r3,23, 1050129,r3,19, 1050129,r2,12, 1050129, 1069,"  100610:	ea000025 	b	1006ac <strsearch+0xc8>",benign, 439, 207, 2735, 2, 1684, 1074, 1, 511, 708, 0, 240, 22825, 506, 3, 92, 3188, 1037, 411, 3, 13110, 7713, 8009, 0, 0, 34, 1804, 1997, 2799, 91, 0, 0, 19, 66, 119, 2, 23472, 15167, 18409, 1, 0, 0, 328,-
26,r0,14, 1050038,r1,19, 1050038,r0,29, 1050038, 1064,"  1005b4:	e3403012 	movt	r3, #18",benign, 432, 203, 2899, 2, 1796, 1092, 1, 533, 737, 0, 259, 25387, 535, 3, 92, 3648, 1057, 420, 3, 15360, 7841, 8376, 0, 0, 34, 1915, 2087, 2927, 93, 0, 0, 19, 76, 128, 2, 25387, 17906, 21112, 1, 0, 0, 326,-
27,r3,30, 1050027,r0,22, 1050027,r0,20, 1050027, 1073,"  1005a8:	e2833001 	add	r3, r3, #1",benign, 443, 207, 2859, 1, 1761, 1087, 1, 527, 727, 0, 246, 24872, 523, 3, 93, 3718, 1051, 404, 3, 15457, 7782, 8317, 0, 0, 33, 1894, 2053, 2936, 92, 0, 0, 19, 68, 119, 2, 25811, 17512, 20889, 1, 0, 0, 326,-
29,r3,4, 1050151,r0,28, 1050151,r0,24, 1050151, 1071,"  100624:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8",benign, 338, 74, 2828, 1, 1750, 1087, 1, 516, 710, 0, 244, 24926, 506, 3, 94, 3420, 1242, 433, 3, 15079, 7652, 8096, 0, 0, 33, 1796, 1991, 2849, 92, 0, 0, 19, 65, 120, 2, 25570, 17012, 20291, 1, 0, 0, 384,-
30,r0,17, 1050063,r3,16, 1050063,r1,15, 1050063, 1068,"  1005cc:	e3403012 	movt	r3, #18",benign, 457, 220, 2887, 2, 1788, 1090, 1, 529, 732, 0, 246, 25220, 529, 3, 94, 3295, 1048, 448, 3, 15609, 8129, 8316, 0, 0, 34, 1875, 2070, 2926, 91, 0, 0, 19, 74, 296, 2, 26057, 17553, 20793, 1, 0, 0, 329,-
31,r3,28, 1049989,r2,25, 1049989,r0,13, 1049989, 1069,"  100584:	e51b2008 	ldr	r2, [fp, #-8]",benign, 440, 210, 2733, 1, 1674, 1073, 0, 511, 708, 0, 257, 22768, 506, 3, 93, 3083, 1292, 414, 3, 13214, 7657, 7984, 0, 0, 34, 1772, 1978, 2799, 91, 0, 0, 19, 24, 128, 2, 23503, 15141, 18311, 1, 0, 0, 317,-
32,r3,23, 1050068,r3,10, 1050068,r1,29, 1050068, 1071,"  1005d4:	e5832000 	str	r2, [r3]",benign, 352, 219, 2808, 5, 1724, 1083, 1, 516, 710, 1, 237, 24176, 506, 3, 93, 3588, 1074, 415, 3, 14681, 7243, 8040, 0, 0, 33, 1801, 1997, 2850, 94, 0, 0, 19, 65, 129, 8, 24907, 16725, 19939, 3, 0, 0, 336,-
33,r1,16, 1049990,r2,24, 1049990,r1,10, 1049990, 1069,"  100584:	e51b2008 	ldr	r2, [fp, #-8]",benign, 426, 200, 2734, 3, 1677, 1073, 0, 511, 709, 0, 248, 23078, 506, 3, 93, 3215, 1420, 415, 3, 13137, 7576, 7979, 0, 0, 34, 1823, 2026, 2805, 91, 0, 0, 19, 66, 129, 7, 23295, 15225, 18413, 2, 0, 0, 322,-
35,r2,21, 1049851,r2,0, 1049851,r0,22, 1049851, 1086,"  1004f8:	e92d4800 	push	{fp, lr}",benign, 445, 220, 2855, 1, 1752, 1093, 0, 516, 708, 0, 242, 25240, 504, 3, 92, 3188, 1075, 403, 3, 14865, 7421, 8113, 0, 0, 33, 1835, 2030, 2884, 91, 0, 0, 19, 78, 119, 2, 25467, 17283, 20488, 1, 0, 0, 316,-
36,r3,24, 1050176,r0,28, 1050176,r3,27, 1050176, 1082,"  100640:	e3550000 	cmp	r5, #0",benign, 334, 204, 2867, 4, 1763, 1093, 0, 522, 719, 0, 248, 24826, 516, 3, 94, 3137, 1088, 414, 3, 14891, 7352, 8184, 0, 0, 33, 1880, 2045, 2907, 93, 0, 0, 19, 66, 130, 2, 24910, 17038, 20265, 1, 0, 0, 327,-
38,r3,10, 1049942,r3,13, 1049942,r3,30, 1049942, 1079,"  100554:	e51b3008 	ldr	r3, [fp, #-8]",benign, 361, 74, 2902, 2, 1813, 1090, 0, 533, 740, 0, 254, 25003, 537, 3, 91, 3420, 1195, 446, 3, 15381, 7762, 8359, 0, 0, 34, 1905, 2044, 2921, 91, 0, 0, 19, 65, 273, 2, 26389, 17747, 21108, 1, 0, 0, 328,-
39,r3,9, 1049880,r2,22, 1049880,r3,7, 1049880, 1085,"  100518:	e3403012 	movt	r3, #18",benign, 347, 212, 2782, 4, 1699, 1075, 1, 511, 706, 1, 250, 24533, 502, 3, 95, 3460, 1119, 402, 3, 14459, 7097, 7974, 0, 0, 33, 1819, 1957, 2826, 96, 0, 0, 19, 74, 128, 5, 24916, 16640, 19880, 1, 0, 0, 317,-
40,r2,9, 1049945,r3,1, 1049945,r0,7, 1049945, 1083,"  100558:	e35300ff 	cmp	r3, #255	; 0xff",benign, 440, 175, 1560, 2, 1079, 623, 1, 397, 674, 0, 269, 22298, 493, 3, 72, 3304, 1180, 412, 3, 14126, 7870, 6373, 0, 0, 55, 1531, 1662, 1792, 93, 0, 0, 19, 66, 127, 2, 23007, 14669, 17872, 1, 0, 0, 339,-
41,r3,9, 1050187,r3,19, 1050187,r1,8, 1050187, 1090,"  100648:	e3550000 	cmp	r5, #0",benign, 427, 206, 2739, 2, 1678, 1073, 1, 511, 708, 0, 240, 22652, 506, 3, 93, 3205, 1087, 422, 3, 13305, 7931, 7991, 0, 0, 34, 1799, 1986, 2803, 92, 0, 0, 19, 65, 119, 2, 23565, 14950, 18198, 1, 0, 0, 318,-
42,r0,7, 1049850,r1,6, 1049850,r1,12, 1049850, 1086,"  1004f8:	e92d4800 	push	{fp, lr}",benign, 436, 207, 2767, 3, 1680, 1074, 1, 511, 702, 0, 238, 24876, 498, 3, 92, 3219, 1072, 404, 3, 14984, 7568, 8028, 0, 0, 33, 1800, 1989, 2840, 93, 0, 0, 19, 66, 119, 2, 25464, 17256, 20442, 1, 0, 0, 318,-
44,r0,23, 1050182,r0,8, 1050182,r2,16, 1050182, 1087,"  100644:	1afffff2 	bne	100614 <strsearch+0x30>",benign, 343, 75, 2890, 2, 1808, 1096, 1, 526, 724, 0, 248, 24644, 521, 3, 95, 3057, 1120, 412, 3, 15365, 7634, 8279, 0, 0, 33, 1871, 2047, 2912, 92, 0, 0, 19, 64, 128, 2, 26020, 17417, 20680, 1, 0, 0, 339,-
45,r2,21, 1049982,r1,30, 1049982,r0,30, 1049982, 1090,"  10057c:	e0423003 	sub	r3, r2, r3",benign, 447, 223, 2751, 1, 1692, 1077, 1, 511, 708, 0, 242, 22912, 506, 3, 92, 3078, 1083, 458, 3, 13123, 7781, 8003, 0, 0, 34, 1805, 1979, 2811, 93, 0, 0, 19, 66, 119, 2, 23547, 14921, 18091, 1, 0, 0, 316,-
47,r3,22, 1050101,r2,18, 1050101,r2,1, 1050101, 1080,"  1005f4:	e3083434 	movw	r3, #33844	; 0x8434",benign, 351, 74, 2903, 2, 1814, 1093, 1, 532, 739, 0, 257, 24956, 536, 3, 94, 3221, 1225, 434, 3, 15266, 7687, 8365, 0, 0, 34, 1913, 2049, 2933, 91, 0, 0, 19, 63, 127, 2, 26062, 18089, 21352, 1, 0, 0, 316,-
48,r1,2, 1050031,r3,30, 1050031,r2,28, 1050031, 1079,"  1005ac:	e50b3008 	str	r3, [fp, #-8]",benign, 451, 207, 2868, 2, 1768, 1082, 0, 531, 738, 0, 259, 25498, 535, 3, 93, 3164, 1024, 404, 3, 15260, 7858, 8326, 0, 0, 34, 1907, 2044, 2915, 93, 0, 0, 19, 65, 119, 2, 25920, 17698, 20919, 1, 0, 0, 324,-
49,r1,28, 1050119,r3,21, 1050119,r1,16, 1050119, 1086,"  100604:	e51b0018 	ldr	r0, [fp, #-24]	; 0xffffffe8",benign, 433, 208, 2812, 2, 1714, 1083, 1, 511, 702, 0, 244, 24897, 498, 3, 93, 3047, 1064, 425, 3, 15034, 7655, 8040, 0, 0, 33, 1795, 1982, 2842, 93, 0, 0, 19, 70, 127, 2, 25340, 17027, 20225, 1, 0, 0, 316,-
